Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PRO_REACTIONARY;PRO-REACTIONARY ;;;;PRO-REACCIONARIO;;;;;;;;x
kiel_canal_NEWS_LONG;A combination of commercial and naval interests have led $TAG0_0$ to the idea of constructing an artificial waterway that'd allow vessels to travel between the Baltic and North Seas without having to circumnavigate the stormy seas around Jutland. The 61 miles long canal is being built and is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;;;Una combinación de intereses comerciales y navales ha llevado a $TAG0_0$ a la idea de construir una vía fluvial artificial que permita a los barcos viajar entre los mares Báltico y del Norte sin tener que circunnavegar los tormentosos mares que rodean Jutlandia. El canal de 61 millas de largo se está construyendo y se espera que se convierta rápidamente en una de las vías fluviales artificiales más concurridas del mundo. El proyecto ofrece un nuevo ímpetu al comercio para todos los países marítimos y demuestra que la grandeza de la nación se puede lograr mediante la fabricación, el comercio y la ingeniería en lugar de mediante la guerra y la conquista.;;;;;;;;x
kiel_canal_NEWS_MEDIUM;The 61 miles long canal is being built and is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;;;El canal de 61 millas de largo se está construyendo y se espera que se convierta rápidamente en una de las vías fluviales artificiales más concurridas del mundo. El proyecto ofrece un nuevo ímpetu al comercio para todos los países marítimos y demuestra que la grandeza de la nación se puede lograr mediante la fabricación, el comercio y la ingeniería en lugar de mediante la guerra y la conquista.;;;;;;;;x
kiel_canal_NEWS_SHORT;The 61 miles long Kiel Canal is being built and it is expect to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries.;;;;Se está construyendo el Canal de Kiel de 61 millas de largo y se espera que se convierta rápidamente en una de las vías fluviales artificiales más concurridas del mundo. El proyecto ofrece un nuevo impulso al comercio para todos los países marítimos.;;;;;;;;x
suez_canal_NEWS_LONG;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep planned Suez Canal is expected to become one of the world's most active shipping lanes, driving down freight costs and bolstering commerce world-wide. 'Shipping fees will never return the costs of maintenance, the route around Africa will remain dominant', sceptics claim in an attempt to diminish the importance of this development.;;;;Un día triunfal para $TAG0_0$ cuando la Suez Canal Company comienza a excavar el istmo de Suez. Una verdadera maravilla de la ingeniería moderna, se espera que el Canal de Suez planificado de 102 millas de largo y 26 pies de profundidad se convierta en una de las rutas de navegación más activas del mundo, reduciendo los costos de flete y reforzando el comercio en todo el mundo. 'Las tarifas de envío nunca devolverán los costos de mantenimiento, la ruta alrededor de África seguirá siendo dominante', afirman los escépticos en un intento por disminuir la importancia de este desarrollo.;;;;;;;;x
suez_canal_NEWS_MEDIUM;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep planned Suez Canal is expected to become one of the world's most active shipping lanes.;;;;Un día triunfal para $TAG0_0$ cuando la Suez Canal Company comienza a excavar el istmo de Suez. Una verdadera maravilla de la ingeniería moderna, se espera que el Canal de Suez planificado de 102 millas de largo y 26 pies de profundidad se convierta en una de las rutas de navegación más activas del mundo.;;;;;;;;x
suez_canal_NEWS_SHORT;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig for the planned 102 miles long and 26 feet deep canal across the Isthmus of Suez.;;;;Un día triunfal para $TAG0_0$ cuando la Compa?ía del Canal de Suez comienza a excavar para el canal planeado de 102 millas de largo y 26 pies de profundidad a través del istmo de Suez.;;;;;;;;x
panama_canal_NEWS_LONG;The beginning of the construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends. It will be built in one of the most unhealthy areas of the entire world, so it's as much a monument to modern engineering as to modern medicine. The canal is expected to quickly become an important conduit to international maritime commerce, experts also claim it to offer great strategic advantage to its controller in times of war.;;;;El inicio de la construcción de un canal a través del Istmo de Panamá ofrece un día de orgullo para $TAG0_0$. El canal tendrá 48 millas de largo y, de hecho, es un canal cerrado a 85 pies sobre el nivel del mar con algunas de las esclusas más intrincadas en ambos extremos. Se construirá en una de las zonas más insalubres del mundo entero, por lo que es tanto un monumento a la ingeniería moderna como a la medicina moderna. Se espera que el canal se convierta rápidamente en un conducto importante para el comercio marítimo internacional, los expertos también afirman que ofrece una gran ventaja estratégica a su controlador en tiempos de guerra.;;;;;;;;x
panama_canal_NEWS_MEDIUM;The beginning of the construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level. To be built in one of most unhealthy places it's a monument to modern engineering as well as medicine.;;;;El inicio de la construcción de un canal a través del Istmo de Panamá ofrece un día de orgullo para $TAG0_0$. El canal tendrá 48 millas de largo y, de hecho, es un canal bloqueado a 85 pies sobre el nivel del mar. Al ser construido en uno de los lugares más insalubres, es un monumento a la ingeniería moderna, así como a la medicina.;;;;;;;;x
panama_canal_NEWS_SHORT;The construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends.;;;;La construcción de un canal a través del Istmo de Panamá ofrece un día de orgullo para $TAG0_0$. El canal tendrá 48 millas de largo y, de hecho, es un canal cerrado a 85 pies sobre el nivel del mar con algunas de las esclusas más intrincadas en ambos extremos.;;;;;;;;x
EVTNAME16001_NEWS_TITLE;The American Slavery Debate;;;;El debate sobre la esclavitud estadounidense;;;;;;;;x
EVTDESC16001_NEWS_LONG;The one issue that the Founding Fathers of $COUNTRY$ were never able to answer conclusively was the question concerning the status of slavery within the union. This inflamed debate has only gained traction in the years since the revolution, and it is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel that there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated into emancipation by the central power in Washington.;;;;El único problema que los padres fundadores de $COUNTRY$ nunca pudieron responder de manera concluyente fue la pregunta sobre el estado de la esclavitud dentro de la unión. Este debate acalorado solo ha cobrado fuerza en los a?os posteriores a la revolución, y actualmente es el tema singular más importante en la agenda política de $COUNTRY$. Algunos sure?os radicales sienten que no se puede llegar a un compromiso sobre el tema y que la secesión es la única alternativa a ser dominados hasta la emancipación por el poder central en Washington.;;;;;;;;x
EVTDESC16001_NEWS_MEDIUM;This debate on slavery is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated by the central government.;;;;Este debate sobre la esclavitud es actualmente el tema singular más importante en la agenda política de $COUNTRY$. Algunos sure?os radicales sienten que no se puede llegar a un compromiso sobre el tema y que la secesión es la única alternativa a ser dominados por el gobierno central.;;;;;;;;x
EVTDESC16001_NEWS_SHORT;This debate on slavery is the singular most important $COUNTRY_ADJ$ political issue, with some radical southerners feeling the only alternative to being dominated by the government is secession.;;;;Este debate sobre la esclavitud es el tema político singular más importante de $COUNTRY_ADJ$, y algunos sure?os radicales sienten que la única alternativa a ser dominados por el gobierno es la secesión.;;;;;;;;x
EVTDESC16010_NEWS_LONG;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. Supposedly, Brown had planned to use the arsenal's weapons to arm slaves and incite an open slave rebellion across the entire south. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue, and in some slave-states there is now even talk of secession from the Union.;;;;$COUNTRY$: El famoso héroe del movimiento abolicionista, el difunto John Brown, fue ahorcado hoy en Charles Town, Virginia, después de una incursión fallida en un arsenal militar. Supuestamente, Brown había planeado usar las armas del arsenal para armar a los esclavos e incitar una rebelión abierta de esclavos en todo el sur. La redada y la muerte de John Brown han aumentado aún más la tensión en el sur por el tema de la esclavitud, y en algunos estados esclavistas ahora incluso se habla de la secesión de la Unión.;;;;;;;;x
EVTDESC16010_NEWS_MEDIUM;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue.;;;;$COUNTRY$: El famoso héroe del movimiento abolicionista, el difunto John Brown, fue ahorcado hoy en Charles Town, Virginia, después de una incursión fallida en un arsenal militar. La redada y la muerte de John Brown han aumentado aún más la tensión en el sur por el tema de la esclavitud.;;;;;;;;x
EVTDESC16010_NEWS_SHORT;$COUNTRY$: John Brown was hanged in Charles Town, Virginia, today after a failed raid on a military armory, further escalating southern tension over the slavery issue.;;;;$COUNTRY$: John Brown fue ahorcado en Charles Town, Virginia, hoy después de una incursión fallida en un arsenal militar, lo que aumentó aún más la tensión en el sur por el tema de la esclavitud.;;;;;;;;x
EVTDESC16020_NEWS_LONG;$COUNTRY$: Dred Scott, born a slave in Virginia, has, with the help of abolitionist legal advisers, sued his 'owner', claiming that his present residency in a free state requires his emancipation. The United States Supreme Court has not yet ruled on the case, but seems inclined to rule that the property of slave-owners are protected regardless of where in the Union the slave resides. The case has caused enormous alarm among northern abolitionists, who see it as the first step to a full extension of the institution of slavery to the whole Union.;;;;$COUNTRY$ Dred Scott, nacido esclavo en Virginia, con la ayuda de asesores legales abolicionistas, demandó a su 'propietario', alegando que su actual residencia en un estado libre requiere su emancipación. La Corte Suprema de los Estados Unidos aún no se ha pronunciado sobre el caso, pero parece inclinada a dictaminar que la propiedad de los due?os de esclavos está protegida independientemente del lugar de la Unión donde resida el esclavo. El caso ha causado una enorme alarma entre los abolicionistas del norte, que lo ven como el primer paso hacia una extensión total de la institución de la esclavitud a toda la Unión.;;;;;;;;x
EVTDESC16020_NEWS_MEDIUM;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused  alarm among northern abolitionists, who see its ruling as the first step to a full extension of slavery to the whole Union.;;;;$COUNTRY$: Un esclavo ha demandado a su 'propietario', alegando que su residencia en un estado libre requiere su emancipación. El caso ha causado alarma entre los abolicionistas del norte, que ven su fallo como el primer paso para una extensión total de la esclavitud a toda la Unión.;;;;;;;;x
EVTDESC16020_NEWS_SHORT;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused enormous alarm among northern abolitionists.;;;;$COUNTRY$: Un esclavo ha demandado a su 'propietario', alegando que su residencia en un estado libre requiere su emancipación. El caso ha causado una enorme alarma entre los abolicionistas del norte.;;;;;;;;x
EVTNAME32511_NEWS_TITLE;The Alaskan Purchase;;;;La compra de Alaska;;;;;;;;x
EVTDESC32511_NEWS_LONG;Distant Alaska has become a burden to the Russian government, and so recently they began quietly approaching powers around the Pacific Rim in the interest of selling it. They found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control for an undisclosed sum. Already the $COUNTRY_ADJ$ governor has arrived in Sitka to begin the new administration.;;;;La lejana Alaska se ha convertido en una carga para el gobierno ruso, por lo que recientemente comenzaron a acercarse silenciosamente a las potencias de la cuenca del Pacífico con el interés de venderla. Encontraron un comprador en $COUNTRY$ y se llegó a un acuerdo en el que la totalidad de la América rusa se transferirá al control de $COUNTRY_ADJ$ por una suma no revelada. El gobernador de $COUNTRY_ADJ$ ya llegó a Sitka para comenzar la nueva administración.;;;;;;;;x
EVTDESC32511_NEWS_MEDIUM;Distant Alaska has become a burden to the Russian government, and so now they have found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;La lejana Alaska se ha convertido en una carga para el gobierno ruso, por lo que ahora han encontrado un comprador en $COUNTRY$ y se ha llegado a un acuerdo en el que la totalidad de la América rusa se transferirá al control de $COUNTRY_ADJ$.;;;;;;;;x
EVTDESC32511_NEWS_SHORT;A deal has been concluded between Russia and $COUNTRY$ where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;Se ha concluido un acuerdo entre Rusia y $COUNTRY$ en el que la totalidad de la América rusa se transferirá al control de $COUNTRY_ADJ$.;;;;;;;;x
EVTDESC19300_NEWS_LONG;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue, 151 ft. tall, depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The design has been carried out by one Frederic Auguste Bartholdi, and a place has been set aside for the statue on an island in a great harbour. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;El pueblo de Francia ha presentado al pueblo de nuestro país un regalo espectacular. Una enorme estatua de cobre, de 151 pies de altura, que representa a una mujer que lleva una antorcha, representando y nombrada 'La libertad iluminando al mundo'. El dise?o fue realizado por Frederic Auguste Bartholdi, y se ha reservado un lugar para la estatua en una isla en un gran puerto. La estatua se conocerá de ahora en adelante, simplemente, como 'La Estatua de la Libertad'.;;;;;;;;x
EVTDESC19300_NEWS_MEDIUM;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;El pueblo de Francia ha presentado al pueblo de nuestro país un regalo espectacular. Una enorme estatua de cobre que representa a una mujer que lleva una antorcha, representando y nombrada 'Liberty Enlightening The World'. La estatua se conocerá de ahora en adelante, simplemente, como 'La Estatua de la Libertad'.;;;;;;;;x
EVTDESC19300_NEWS_SHORT;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue depicting a woman carrying a torch, known as 'the Statue of Liberty'.;;;;El pueblo de Francia ha presentado al pueblo de nuestro país un regalo espectacular. Una enorme estatua de cobre que representa a una mujer que lleva una antorcha, conocida como 'la Estatua de la Libertad'.;;;;;;;;x
EVTNAME60000_NEWS_TITLE;Communists Seize Power in $COUNTRY$!;;;;?Los comunistas toman el poder en $COUNTRY$!;;;;;;;;x
EVTDESC60000_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced today that the communist party would be suspending voting rights and restricting reforms 'to combat the current crisis'. While government ministers reassured many that the measures would be temporary, it appears obvious to outsiders that this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat. Many see this as having always been the goal of the ruling $COUNTRY_ADJ$ communist party: a peaceful overthrow of the current system and the installation of true communist principles.;;;;Hablando desde las oficinas gubernamentales en $CAPITAL$, el liderazgo de $COUNTRY_ADJ$ anunció hoy que el partido comunista suspendería los derechos de voto y restringiría las reformas 'para combatir la crisis actual'. Si bien los ministros del gobierno aseguraron a muchos que las medidas serían temporales, parece obvio para los de afuera que este es solo el primer paso en la transformación de $COUNTRY$ en una dictadura del proletariado. Muchos ven que esto ha sido siempre el objetivo del partido comunista gobernante $COUNTRY_ADJ$: un derrocamiento pacífico del sistema actual y la instalación de verdaderos principios comunistas.;;;;;;;;x
EVTDESC60000_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights 'to combat the current crisis'. While giving reassurances that the measures are temporary, this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat.;;;;Hablando desde las oficinas gubernamentales en $CAPITAL$, el liderazgo de $COUNTRY_ADJ$ anunció la suspensión de los derechos de voto 'para combatir la crisis actual'. Si bien asegura que las medidas son temporales, este es solo el primer paso en la transformación de $COUNTRY$ en una dictadura del proletariado.;;;;;;;;x
EVTDESC60000_NEWS_SHORT;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights 'to combat the current crisis', transforming $COUNTRY$ into a communist dictatorship.;;;;Hablando desde las oficinas gubernamentales en $CAPITAL$, el liderazgo de $COUNTRY_ADJ$ anunció la suspensión de los derechos de voto 'para combatir la crisis actual', transformando $COUNTRY$ en una dictadura comunista.;;;;;;;;x
EVTNAME60010_NEWS_TITLE;Military Coup in $COUNTRY$!;;;;?Golpe militar en $COUNTRY$!;;;;;;;;x
EVTDESC60010_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights 'to combat the current crisis'. Many see this as a coup d'etat, an overthrow of the democratic government and installation of $COUNTRY$'s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military, and they would be correct. For all intents and purposes, $COUNTRY_ADJ$ democracy is now a thing of the past.;;;;Hablando desde las oficinas gubernamentales en $CAPITAL$, el liderazgo de $COUNTRY_ADJ$ anunció la suspensión de muchas libertades y derechos de voto 'para combatir la crisis actual'. Muchos ven esto como un golpe de estado, el derrocamiento del gobierno democrático y la instalación del presidente reaccionario de $COUNTRY$ como dictador con el apoyo de las fuerzas armadas de $COUNTRY_ADJ$, y estarían en lo cierto. Para todos los efectos, la democracia de $COUNTRY_ADJ$ ahora es cosa del pasado.;;;;;;;;x
EVTDESC60010_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights 'to combat the current crisis'. Many see this as an installation of $COUNTRY$'s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military, and they would be correct.;;;;Hablando desde las oficinas gubernamentales en $CAPITAL$, el liderazgo de $COUNTRY_ADJ$ anunció la suspensión de muchas libertades y derechos de voto 'para combatir la crisis actual'. Muchos ven esto como una instalación del presidente reaccionario de $COUNTRY$ como dictador con el apoyo de las fuerzas armadas de $COUNTRY_ADJ$, y estarían en lo correcto.;;;;;;;;x
EVTDESC60010_NEWS_SHORT;The $COUNTRY_ADJ$ leadership announced the suspension of freedoms 'to combat the current crisis'. Many see this as an installation of $COUNTRY$'s reactionary president as sole ruler and dictator, and they would be correct.;;;;La dirigencia de $COUNTRY_ADJ$ anunció la suspensión de las libertades 'para combatir la crisis actual'. Muchos ven esto como una instalación del presidente reaccionario de $COUNTRY$ como único gobernante y dictador, y estarían en lo correcto.;;;;;;;;x
EVTNAME60020_NEWS_TITLE;Anarcho-Liberals Seize Power in $COUNTRY$!;;;;?Los anarco-liberales toman el poder en $COUNTRY$!;;;;;;;;x
EVTDESC60020_NEWS_LONG;In the interests of protecting the principles of liberty from the crushing onslaught of democracy, plebeian aristocracy and mob rule, a committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a minimal government dictatorship. It's only temporary, they say, a way to combat the current crisis, though many have doubts this is true, or that $COUNTRY$ will ever be restored to true democratic rule unless the radicals are someday overthrown.;;;;Con el fin de proteger los principios de la libertad del aplastante ataque de la democracia, la aristocracia plebeya y el gobierno de la mafia, un comité de miembros preocupados del partido radical gobernante tomó el poder en $COUNTRY$ y transformó el país en una dictadura de gobierno mínimo. Es solo temporal, dicen, una forma de combatir la crisis actual, aunque muchos tienen dudas de que esto sea cierto, o que $COUNTRY$ alguna vez sea restaurado a un verdadero gobierno democrático a menos que algún día los radicales sean derrocados.;;;;;;;;x
EVTDESC60020_NEWS_MEDIUM;In the interests of protecting the principles of liberty from the crushing onslaught of democracy, plebeian aristocracy and mob rule, a committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a minimal government dictatorship.;;;;Con el fin de proteger los principios de la libertad del aplastante ataque de la democracia, la aristocracia plebeya y el gobierno de la mafia, un comité de miembros preocupados del partido radical gobernante tomó el poder en $COUNTRY$ y transformó el país en una dictadura de gobierno mínimo.;;;;;;;;x
EVTDESC60020_NEWS_SHORT;A committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a government dictatorship. A temporary measure, they say, to combat the current crisis.;;;;Un comité de miembros preocupados del partido radical gobernante tomó el poder en $COUNTRY$ y transformó el país en una dictadura gubernamental. Una medida temporal, dicen, para combatir la crisis actual.;;;;;;;;x
EVTNAME60030_NEWS_TITLE;Fascists Seize Power in $COUNTRY$!;;;;?Los fascistas toman el poder en $COUNTRY$!;;;;;;;;x
EVTDESC60030_NEWS_LONG;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the fascist ruling party has transformed $COUNTRY$ from a democracy into a fascist dictatorship. Already the $COUNTRY_ADJ$ government has been reported clamping down on protests, black-shirted enforcers visible on every block in every major city. All this, according to the ruling party, will see $COUNTRY$ achieve the destiny it so richly deserves.;;;;Se han restringido los derechos de voto, el sistema de partidos se ha deslizado gradualmente bajo el control del estado, y un proyecto de ley sobre la expansión de los poderes extraordinarios del estado ha sido aprobado con éxito en $CAPITAL$. Las se?ales son claras y sencillas: el partido gobernante fascista ha transformado $COUNTRY$ de una democracia a una dictadura fascista. Ya se ha informado que el gobierno de $COUNTRY_ADJ$ ha tomado medidas drásticas contra las protestas, con ejecutores vestidos con camisas negras visibles en cada cuadra de cada ciudad importante. Todo esto, según el oficialismo, hará que $COUNTRY$ alcance el destino que tanto se merece.;;;;;;;;x
EVTDESC60030_NEWS_MEDIUM;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the ruling party has transformed $COUNTRY$ into a fascist dictatorship.;;;;Se han restringido los derechos de voto, el sistema de partidos se ha deslizado gradualmente bajo el control del estado, y un proyecto de ley sobre la expansión de los poderes extraordinarios del estado ha sido aprobado con éxito en $CAPITAL$. Las se?ales son claras y sencillas: el partido gobernante ha transformado $COUNTRY$ en una dictadura fascista.;;;;;;;;x
EVTDESC60030_NEWS_SHORT;The signs are clear: with the recent expansion of the fascist party's executive powers, $COUNTRY$ has been transformed from a democracy into a fascist dictatorship.;;;;Las se?ales son claras: con la reciente expansión de los poderes ejecutivos del partido fascista, $COUNTRY$ se ha transformado de una democracia a una dictadura fascista.;;;;;;;;x
EVTDESC60050_NEWS_LONG;The $COUNTRY_ADJ$ dictatorship is not what it used to be. Increased pluralism, combined with extended political reforms, has led to the dictatorship more and more taking on the trappings of a democracy. While this doesn't necessarily mean that the ruling party has given up its reign on power, with the recent calling of elections this does mean that the opposition now has some chance of making its voice heard. $COUNTRY$ has become a democracy, and crowds have gathered in $CAPITAL$ to celebrate the idea that their rulers might soon be peacefully removed from power.;;;;La dictadura de $COUNTRY_ADJ$ ya no es lo que era. El aumento del pluralismo, combinado con amplias reformas políticas, ha llevado a la dictadura a adoptar cada vez más las trampas de una democracia. Si bien esto no significa necesariamente que el partido gobernante haya renunciado a su reinado en el poder, con la reciente convocatoria de elecciones significa que la oposición ahora tiene alguna posibilidad de hacer oír su voz. $COUNTRY$ se ha convertido en una democracia, y las multitudes se han reunido en $CAPITAL$ para celebrar la idea de que sus gobernantes pronto podrían ser destituidos pacíficamente del poder.;;;;;;;;x
EVTDESC60050_NEWS_MEDIUM;The $COUNTRY_ADJ$ dictatorship is not what it used to be. While the ruling party has not yet given up power, increased pluralism, combined with extended political reforms and the recent call for new elections, has led to the dictatorship more and more taking on the trappings of a democracy.;;;;La dictadura de $COUNTRY_ADJ$ ya no es lo que era. Si bien el partido gobernante aún no ha renunciado al poder, el aumento del pluralismo, combinado con reformas políticas extendidas y la reciente convocatoria de nuevas elecciones, ha llevado a la dictadura a adoptar cada vez más las trampas de una democracia.;;;;;;;;x
