EVTNAME600028;Paris Lost!;;;x
EVTDESC600028;Paris, the siege of our power haven't been invaded since years. It's a show of weakness from our government, we need to reconquer it!;;;x
EVTDESC36898;On the 28th of June, 1838, princess Alexandrina Victoria of House Hanover ascended to the throne of The United Kingdom of Great Britain and Ireland as 'Queen Victoria'. Her reign, which would last even a few years into the 20th century, would later be remembered as the absolute zenith of the British Empire, upon which the sun never set. Today a jubilant crowd in London has escorted the young Queen Victoria to her residence in the newly built Buckingham Palace.;;;x
EVTNAME600033;Capture of Paris;;;x
EVTDESC600033;We have taken the city of Paris! it's a glorious day for our nation and we can finally claim the throne of France!;;;x
EVTNAME600034;A capital choice;;;x
EVTDESC600034;When the British Commonwealth proclaimed its independence with both Dutch and British colonies the localisation of the capital was always a question. Sydney assumed the responsibilities provisionally, but South Africa, the door to Europe is starting to claim that role. We should make a decision.;;;x
EVTNAME600036;Promote Indian;;;x
EVTDESC600036;We have conquered all of India. Now we need to promote another culture in order to keep them in check;;;x
EVTNAME600037;Influence war in America;;;x
EVTDESC600037;Following the Washington congress, Spain agreed to liberate it's american colonies exept Cuba. But the USA, our supposed liberator have acted more and more against our own interest. Spain had now tried to establish trade relations with us and it's time we choose who we are aligned to!;;;x
EVTNAME600038;A Divided America;;;x
EVTDESC600038;Following the Washington congress, Spain agreed to liberate it's american colonies exept Cuba. But the USA, our supposed liberator have acted more and more against our own interest. Mexico is now a great power and it could be our chance to support a candidat who shares our culture and who won't try to establish a dominance!;;;x
EVTNAME600039;The Rise of Mexico;;;x
EVTDESC600039;Not long after our independence, our nation has been attacked by foreigners, constantly humilliated amongst bad leaderships and abusive neighbours, damaging the homeland. Now that the eagle has spread its wings, we can regain our lost glory and honour those who fell fighting for the homeland!;;;x 
EVTNAME600040;A succession crisis;;;x
EVTDESC600040;After the murder of the Royal Family by the September Revolt we have to choose a heir to succeed on the Bavarian throne. While we should give it to the brother of the deceased king, Prince Karl Theodor of Bavaria, France has proposed a candidat, just before the death of Napoleon. Maximilian de Beauharnais, supposetly heir to the kingdom of North Italy was a cousin of the deceased king. By his mother he got a legitimacy to the throne and this option could favour us in french eyes;;;x
EVTNAME600041;A succession crisis;;;x
EVTDESC600041;After the murder of the Royal Family by the September Revolt we have to choose a heir to succeed on the Bavarian throne. The only other candidat, Maximilien de Beauharnais, who was supported by the french emperor to become king of Bavaria became emperor of France and renounce all claim on the throne of Bavaria;;;x
EVTNAME600042;Imperialism or Isolationism?;;;x
EVTDESC600042;The United States of America have always had an ambigious relation with Europe. While we are making most of our money from trade with Europe and shared a lot of ideology with the old continent, we have always had a different approach on colonisalism as a former colony. It's also important to note that the recent conflict against european power have pushed us to take a decision on our foreign diplomacy. Should we focus on America and renounce the idea of imperialism or should we embrace our european heritage?;;;x
