;;;;;;;x
EVTDESC16510_NEWS_SHORT;A new union has been created: the Free States of America, free of slavery and dedicated to true freedom for all men. The 'true' American government has declared this an act of traitors.;;;;;;;x,
EVTDESC96110_NEWS_LONG;Abdul-Aziz, scion of the House of Saud, has returned to $COUNTRY$ from exile in Kuwait. Not only that, reports state the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control. The rulers of $COUNTRY$ are scrambling to counter this sudden return, recruiting allies against ibn Saud lest their earlier victory over his house be permanently undone.;;;;;;;x
EVTDESC96110_NEWS_MEDIUM;Abdul-Aziz, scion of the House of Saud, has returned to $COUNTRY$ from exile in Kuwait. Not only that, reports state the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control.;;;;;;;x,
EVTDESC96110_NEWS_SHORT;Abdul-Aziz, scion of the House of Saud, has forged an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control.;;;;;;;x
EVTNAME96120_NEWS_TITLE;The War of Arabian Domination;;;;;;;x,,
EVTDESC96120_NEWS_LONG;The lands of Arabia have been split between two competing royal houses for many years: the house of Saud and the house of Rashid, the latter supported at times by the Ottomans and the former often on good terms with the British. Matters have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Rashidi family, ruler of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Nejd.;;;;;;;x
EVTDESC96120_NEWS_MEDIUM;Matters in Arabia have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Rashidi royal family, ruler of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Saudis in Nejd.;;;;;;;x,
EVTDESC96120_NEWS_SHORT;The head of the Rashidi royal family, rulers of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Saudis in Nejd.;;;;;;;x
EVTDESC96121_NEWS_LONG;The lands of Arabia have been split between two competing royal houses for many years: the house of Saud and the house of Rashid, the latter supported at times by the Ottomans and the former often on good terms with the British. Matters have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Saudi family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Ha'il.;;;;;;;x
EVTDESC96121_NEWS_MEDIUM;Matters in Arabia have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Saudi royal family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Rashidis in Ha'il.;;;;;;;x,
EVTDESC96121_NEWS_SHORT;The head of the Saudi royal family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Rashidis in Ha'il.;;;;;;;x
EVTDESC96130_NEWS_LONG;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about the need for a united front to contain $COUNTRY_ADJ$ aggression. There are even efforts to stir up their own citizens against them. 'Surely not all people in $COUNTRY$ agree with their government!' commented one leader. $COUNTRY$ will need to be careful, lest they face not a single enemy but that of the world's great powers united against them.;;;;;;;x
EVTDESC96130_NEWS_MEDIUM;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about a united front to contain $COUNTRY_ADJ$ aggression. $COUNTRY$ will need to be careful, lest they face the world's great powers united against them.;;;;;;;x
EVTDESC96130_NEWS_SHORT;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor. $COUNTRY$ will need to be careful, lest they face the world's great powers united against them.;;;;;;;x,
EVTDESC96136_NEWS_LONG;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you. It goes without saying that their demands are extremely humiliating, involving the surrender of all conquered territories among many other things. If they do not agree, however, $COUNTRY$ will face a great war which even they may not be able to deal with.;;;;;;;x
EVTDESC96136_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you. If they do not agree, $COUNTRY$ will face a great war which even they may not be able to deal with.;;;;;;;x
EVTDESC96136_NEWS_SHORT;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you.;;;;;;;x,
EVTDESC96170_NEWS_LONG;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war to unify the tribes in western and central Sudan. While the local government in Khartoum initially dismissed this man, further reports indicate the Mahdi possesses a great deal of magnetism -- and his rallying call of driving all foreign presence out of the Sudan has gained him a large following. These Mahdists may prove to be a serious threat to $COUNTRY_ADJ$ rule of the Sudan.;;;;;;;x,
EVTDESC96170_NEWS_MEDIUM;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war to unify the tribes in western and central Sudan. These Mahdists may prove to be a serious threat to $COUNTRY_ADJ$ rule of the Sudan.;;;;;;;x,,
EVTDESC96170_NEWS_SHORT;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war against $COUNTRY$ to unify the tribes in western and central Sudan.;;;;;;;x,,
EVTDESC95250_NEWS_LONG;Brunei's control over its southern regions has only ever been nominal, and the region has been self-governed under the Sultan of Sarawak. During a recent crisis, an Englishman by the name of James Brooke provided the Brunei Sultan invaluable assistance in restoring order, and has been bestowed with the title of governor of Sarawak�known to the locals as the 'White Rajah'. This has made him the effective ruler, and with British influence his sultanate has become independent in truth.;;;;;;;x
EVTDESC95250_NEWS_MEDIUM;During a recent crisis, an Englishman by the name of James Brooke provided the Brunei Sultan invaluable assistance in restoring order, and has been bestowed with the title of governor of Sarawak�known to the locals as the 'White Rajah'.;;;;;;;x
EVTDESC95250_NEWS_SHORT;An Englishman by the name of James Brooke provided the Brunei Sultan invaluable assistance in restoring order, and has been bestowed with the rulership of Sarawak -- 'the White Rajah'.;;;;;;;x,
EVTDESC95260_NEWS_LONG;With the end of the democratic government of the United States, there is a growing feeling among many Americans that the principles upon which the country was founded no longer apply. Talk of secession is frequent, if quiet, and as unrest begins to grow it's become increasingly more possible that liberal-minded states will attempt to pull out of the Union. Already the rise of a new 'Sons of Liberty' movement heralds resistance against the totalitarian American government.;;;;;;;x,
EVTDESC95260_NEWS_MEDIUM;With the end of the democratic government of the United States, there is a growing feeling among many Americans that the principles upon which the country was founded no longer apply. Already the rise of a new 'Sons of Liberty' movement heralds resistance against the government.;;;;;;;x,
EVTDESC95260_NEWS_SHORT;The rise of a new 'Sons of Liberty' movement in the United States heralds the first resistance against the totalitarian American government.;;;;;;;x,,
EVTDESC95076_NEWS_LONG;A spontaneous protest by young Poles against conscription into the army has quickly erupted into a widespread insurrection across $COUNTRY$, supported by high-ranking Polish and Lithuanian officers and politicians. The eyes of all of Europe are upon $COUNTRY$, and if they deal with the insurgents too harshly it may hurt their relations with other European powers. If they do not, however, the uprising will surely spread even further.;;;;;;;x
EVTDESC95076_NEWS_MEDIUM;A spontaneous protest by young Poles against conscription into the army has quickly erupted into a widespread insurrection across $COUNTRY$, supported by high-ranking Polish and Lithuanian officers and politicians.;;;;;;;x,
EVTDESC95076_NEWS_SHORT;A spontaneous protest by young Poles over conscription into the army has quickly erupted into a widespread insurrection across $COUNTRY$.;;;;;;;x,,
EVTDESC95200_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rule. While the notion of a Turkmenian state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95200_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rule. While the notion of a Turkmenian state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95200_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC95201_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Khazak peoples under $COUNTRY_ADJ$ rule. While the notion of a Khazak state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95201_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Khazak peoples under $COUNTRY_ADJ$ rule. While the notion of a Khazak state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95201_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Khazak peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC95205_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rule. While the notion of a single Uzbek state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95205_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rule. While the notion of a single Uzbek state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95205_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC95210_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rule. While the notion of a Tajik state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95210_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rule. While the notion of a Tajik state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95210_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC95215_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Kyrgyz peoples under $COUNTRY_ADJ$ rule. While the notion of a modern Kyrgyz state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95215_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Kyrgyz peoples under $COUNTRY_ADJ$ rule. While the notion of a modern Kyrgyz state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95215_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Kyrgyz peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC36711_NEWS_LONG;With the aid of British mediation, Belgium and the Netherlands have signed the Treaty of London. The treaty guarantees Belgium`s independence in exchange for some territorial concessions and the vassalization of Luxembourg to the Dutch crown.;;;;;;;x,
EVTDESC36711_NEWS_MEDIUM;With the aid of British mediation, Belgium and the Netherlands have signed the Treaty of London. The treaty guarantees Belgium`s independence in exchange for some territorial concessions and the vassalization of Luxembourg to the Dutch crown.;;;;;;;x,
EVTDESC36711_NEWS_SHORT;With the aid of British mediation, Belgium and the Netherlands have signed the Treaty of London, guaranteeing Belgium`s independence in exchange for some territorial concessions.;;;;;;;x
EVTDESC36716_NEWS_LONG;Belgian forces have consolidated their control over Amsterdam and proven their superiority in the war, and thus the Dutch government has little choice but to accept any terms they dictate. The European powers have pushed for peace and conciliation-- they wish to see that Belgium keeps what it has and be satisfied with its independence-- though the Belgian government is said to be considering territorial demands. Doing so will almost certainly anger the powers of Europe.;;;;;;;x,
