;;;x
BUL_communist;Balgarska Komunisticheska Partiya;;;x
BUL_conservative;Mladoliberalna Partija-Toncevisti;;;x
CAN_socialist;Socialist Party of Canada;;;x
CAN_communist;Communist Party of Canada;;;x
CAN_conservative;Conservative Party of Canada;;;x
CAN_reactionary;Tories;;;x
CAN_liberal_1;Red Party;;;x
CAN_liberal_2;Liberal Party of Canada;;;x
DAI;Vietnam;;;x
DAI_communist;Dang Cong san Viet Nam;;;x
ENG_communist;Communist Party of Great Britain;;;x
FIN_fascist;Isanmaallinen kansanliike;;;x
MEX_socialist;Partido Laborista Mexicano;;;x
MEX_communist;Partido Socialista Obrero;;;x
MEX_fascist;Union Nacional Sinarquista;;;x
NET_conservative;Anti-Revolutionaire Partij;;;x
HOL_socialist_1;Sociaal-Democratische Vereeniging;;;x
HOL_socialist_2;Sociaal-Democratische Bond;;;x
HOL_socialist_3;Sociaal Democratische Arbeiders Partij;;;x
HOL_fascist;Verbond Van Actualisten;;;x
POR_socialist;Partido Socialista Portugues;;;x
POR_communist;Partido Comunista Portugues;;;x
RUS_fascist;All-Russian Fascist Party;;;x
SER_reactionary;Nacionalna Stranka;;;x
SER_communist;Srpska Socijaldemokratska Partija;;;x
SER_fascist;Narodna Odbrana;;;x
SER_conservative;Ustavobranitelji;;;x
SER_conservative_2;Konzervativna Stranka;;;x
SER_conservative_3;Srpska Napredna Stranka;;;x
SER_socialist;Samostalna Radikalna Stranka;;;x
SER_liberal;Liberalna Stranka;;;x
SER_liberal_2;Narodna Radikalna Stranka;;;x
SER_anarcho_liberal;Anarho-Liberalno Stranka;;;x
GRE_communist;Kommounistiko Komma Elladas;;;x
GRE_socialist;Sosialistiko Komma Elladas;;;x
GRE_fascist;Ethniki Enosis Ellados;;;x
GRE_anarcho_liberal;Ethnikon Rizospastikon Komma;;;x
GRE_reactionary;Komma ton Napaion;;;x
GRE_conservative;Syntagmatiko Komma;;;x
GRE_conservative_2;Komma Ethnikofronon;;;x
GRE_liberal;Ethniko Komma;;;x
GRE_liberal_2;Neoteristikon Komma;;;x
USA_socialist;Workingmen's Party;;;x
USA_communist;Communist Party USA;;;x
USA_fascist;Silver Legion of America;;;x
YUG_reactionary;Jugoslovenska Nacionalna Stranka;;;x
YUG_liberal;Samostalna Demokratska Stranka;;;x
YUG_anarcho_liberal;Narodna Radikalna Stranka;;;x
YUG_communist;Komunisticka Partija Jugoslavije;;;x
YUG_socialist;Socijalisticka Radnicka Partija Jugoslavije;;;x 
YUG_conservative;Jugoslovanska Demokratska Stranka;;;x
UBD;The United Baltic Provinces;;;x
UBD_democracy;The Baltic Union;;;x
UBD_proletarian_dictatorship;The Baltic Worker's Union;;;x
UBD_fascist;Baltic Fascist Union;;;x
UBD_communist;Baltic Communist Party;;;x
UBD_socialist;Union of Baltic Workers and Socialists;;;x
UBD_socialist_2;Baltic Labour Party;;;x
UBD_anarcho_liberals;Radical Party;;;x
UBD_liberal_2;The All-Baltic Landtag;;;x
UBD_liberal;Progressive Union;;;x
UBD_conservative_2;Union of Landowners and Farmers;;;x
UBD_reactionary;Royalist Faction;;;x
UBD_conservative;German Landtag;;;x
EST_fascist;Vabadussojalased;;;x
EST_communist;Eestimaa Kommunistlik Partei;;;x
EST_socialist;Eesti Sotsialistlik Tooliste Partei;;;x
EST_socialist_2;Eesti Tooerakond;;;x
EST_anarcho_liberal;Radikaal-Demokraatlik Erakond;;;x
EST_liberal;Asunikkude Partei;;;x
EST_conservative;Pollumeeste Kogud;;;x
EST_conservative_2;Kristlik Rahvaerakond;;;x
EST_reactionary;Eesti Rojalistlik Partei;;;x
EST_reactionary_2;Isamaaliit;;;x
LIV_fascist;Perkonkrusts;;;x
LIV_communist;Latvijas Komunistiska Partija;;;x
LIV_socialist_2;Mazinieki;;;x
LIV_socialist;LSDSP;;;x
LIV_anarcho_liberal;Latvijas Radikaldemokratu Partija;;;x
LIV_liberal_2;Blodnieka Partija;;;x
LIV_liberal;Demokratiskais Centrs;;;x
LIV_conservative_2;Kristigo Zemnieku un Katolu Partija;;;x
LIV_conservative;Latviesu Zemnieku Savieniba;;;x
LIV_reactionary_2;Nacionala Apvieniba;;;x
LIV_reactionary;Rojalistu Partija;;;x
URU_liberal_2;Colorados;;;x
URU_socialist;Partido Socialista;;;x
URU_communist;Partido Comunista;;;x
LIT_reactionary;Monarchizmas Frakcija;;;x
LIT_reactionary_2;Lietuviu Tautininku Sajunga;;;x
LIT_conservative;Lietuvos Darbo Federacija;;;x
LIT_conservative_2;LKDP;;;x
LIT_anarcho_liberal;Tautos Pazangos Partija;;;x
LIT_liberal;Lietuviu Demokratu Partij;;;x
LIT_liberal_2;Lietuvos Valstieciu Liaudininku Sajunga;;;x
LIT_socialist;LSDP;;;x
LIT_communist;Lietuvos Komunistu Partija;;;x
LIT_fascist;Lietuvos Sauliu Sajunga;;;x
EGY_democracy;The Republic of Egypt;;;x
QUE_ADJ;Quebecois;;;x
LIB_conservative;Republican Party;;;x
LIB_conservative_2;Democratic Party;;;x
LIB_liberal;True Whig Party;;;x
LIB_liberal_2;Pan-African Party;;;x
LIB_socialist;African Revolutionary Party;;;x
LIB_reactionary;Nationalist Party;;;x
LIB_anarcho_liberal;Radical Party;;;x
LIB_communist;Communist Party;;;x
LIB_fascist;Fascist Party;;;x
WEI;Saxe-Weimar;;;x
ENG_fascist_dictatorship;The Union of Britain;;;x
ENG_democracy;The British Commonwealth;;;x
ENG_presidential_dictatorship;The British Commonwealth;;;x
ENG_bourgeois_dictatorship;The British Commonwealth;;;x
shilluk;Shilluk;;;x
YNN_reactionary_2;Confucianist Tusi;;;x
YNN_liberal_2;Westernizer Tusi;;;x
YNN_conservative_2;Local Tusi;;;x
XIN_reactionary_2;Confucianist Faction;;;x
XIN_conservative_2;Amban Faction;;;x
XIN_liberal_2;Reformer Faction;;;x
KOR;Korea;;;x
KOR_absolute_monarchy;The Kingdom of Joseon;;;x
KOR_proletarian_dictatorship;DPRK;;;x
KOR_reactionary;Bandong;;;x
KOR_liberal;Taewon'gun;;;x
KOR_liberal_2;Songgyungwan;;;x
KOR_conservative;Tong Hak;;;x
KOR_liberal_3;Silhak;;;x
KOR_anarcho_liberal;Geubjinpa;;;x
KOR_conservative_2;Wangdangpa;;;x
KOR_socialist;Sahoe-tang;;;x
KOR_communist;Choson Kongsantang;;;x
KOR_fascist;Pasiseuteu Pati;;;x
MCK;Manchuria;;;x
MCK_fascist_dictatorship;Manzhouguo;;;x
MCK_presidential_dictatorship;Fengtian Clique;;;x
MCK_ADJ;Manchu;;;x
MCK_presidential_dictatorship_ADJ;Fengtian;;;x
PROV2281;Esmeraldas;;;x
PROV1363;Pakse;;;x
PROV1364;Phnom Penh;;;x
PROV1464;Jolo;;;x
ATJ;Aceh;;;x
ATJ_ADJ;Acehnese;;;x
JOH;Johor;;;x
BRZ_absolute_monarchy;The Empire of Brazil;;;x
BRZ_prussian_constitutionalism;The Empire of Brazil;;;x
BRZ_hms_government;The Empire of Brazil;;;x
BRZ_dominion;The Kingdom of Brazil;;;x
ARC;Argentina;;;x
ARC_democracy;Argentine Confederation;;;x
ARC_presidential_dictatorship;Argentine Confederation;;;x
ARC_proletarian_dictatorship;Communist Federation of Argentina;;;x
ARC_ADJ;Argentinian;;;x
MUG_absolute_monarchy;The Mughal Empire;;;x
MUG_prussian_constitutionalism;The Mughal Empire;;;x
MUG_fascist_dictatorship;The Gurkani Republic;;;x
MUG_proletarian_dictatorship;People's Republic of Mughalistan;;;x
MUG_conservative;Mir Saman;;;x
MUG_liberal;Hanafi;;;x
MUG_reactionary;Mir Bakshi;;;x
MUG_anarcho_liberal;The Radical Party;;;x
MUG_socialist;The Socialist Party;;;x
MUG_communist;The Communist Party;;;x
MUG_fascist;The Fascist Party;;;x
CAN_liberal;Liberal Party;;;x
CAN_anarcho_liberal;One Big Union;;;x
CAN_fascist;National Unity Party;;;x
BRZ_liberal;Partido Liberal;;;x
BRZ_conservative;Partido Conservador;;;x
BRZ_reactionary;Partido Restaurador;;;x
BRZ_reactionary2;Partido Republicano Riograndense;;;x
BRZ_conservative_2;Partido Republicano Paulista;;;x
BRZ_liberal_2;Partido Republicano Carioca;;;x
BRZ_anarcho_liberal;Partido Anarquista;;;x
BRZ_socialist;Partido Socialista;;;x
BRZ_communist;Partido Comunista;;;x
BRZ_fascist;Acao Integralista Brasileira;;;x
SWI_communist;Kommunistische Partei;;;x
SWI_fascist;Nationale Front;;;x
FRA_fascist;Parti Franciste;;;x
FRA_reactionary_2;Droite Nationaliste;;;x
FRA_anarcho_liberal;Republicain Radical;;;x
GER_fascist;NSDAP;;;x
POL_fascist;ONR-Falanga;;;x
HAI_conservative;Parti National;;;x
HAI_liberal;Parti Liberal;;;x
HAI_reactionary;Haitien Nationaliste Parti;;;x
HAI_anarcho_liberal;Parti Radical;;;x
HAI_socialist;Parti Socialiste;;;x
HAI_communist;Parti Communiste Haitien;;;x
HAI_fascist;Parti Fasciste;;;x
CHK;Champassak;;;x
CHK_ADJ;Champassaki;;;x
CHK_conservative;Royal Faction;;;x
CHK_liberal;The Liberal Faction;;;x
CHK_reactionary;The Nationalist Faction;;;x
CHK_anarcho_liberal;The Radical Faction;;;x
CHK_socialist;The Socialist Faction;;;x
CHK_communist;The Communist Faction;;;x
CHK_fascist;The Fascist Faction;;;x
CRO_conservative;Hrvatska Stranka Prava;;;x
CRO_liberal;Narodna Stranka;;;x
CRO_reactionary;Nacionalisticka Partija;;;x
CRO_anarcho_liberal;Anarhisticki Partija;;;x
CRO_socialist;Socijalisticka Partija;;;x
CRO_communist;Komunisticka Partija;;;x
CRO_fascist;Ustasha;;;x
ABU;United Arab Emirates;;;x
ABU_ADJ;Emirati;;;x
ABU_absolute_monarchy;The Trucial States;;;x
ABU_absolute_monarchy_ADJ;Trucial;;;x
ABU_bourgeois_dictatorship;United Arab Councils;;;x
ABU_bourgeois_dictatorship_ADJ;Arabic;;;x
ABU_fascist_dictatorship;The Emirate;;;x
ABU_fascist_dictatorship_ADJ;Emirati;;;x
ABU_proletarian_dictatorship;People's Arabic Republic;;;x
ABU_proletarian_dictatorship_ADJ;Arabic;;;x
ANI_absolute_monarchy;Antillean Empire;;;x
ANI_proletarian_dictatorship;Antillean Republic;;;x
ANI_presidential_dictatorship;Antillean Republic;;;x
ANI_fascist_dictatorship;Antillean Republic;;;x
ANI_bourgeois_dictatorship;Antillean Republic;;;x
ANI;Antilles Confederation;;;x
ANI_ADJ;Antillean;;;x
AOT;Aotearoa;;;x
AOT_ADJ;Maori;;;x
AOT_conservative;Kingitanga;;;x
AOT_liberal;Ropu o te Rangatahi;;;x
AOT_socialist;Ratana;;;x
AOT_communist;Toputanga-a-iwi;;;x
AOT_reactionary;Kauhanganui;;;x
AOT_anarcho_liberal;Mana Maori Motuhake;;;x
AOT_fascist;Kawanatanga Whakahawini;;;x
ARA;Arabia;;;x
ARA_ADJ;Arabian;;;x
ARA_reactionary;Al Sa'ud;;;x
ARA_reactionary2;Al Rashid;;;x
ARA_conservative;Al Muhafidh;;;x
ARA_liberal;Al Mutaharir;;;x
ARA_anarcho_liberal;Al Anarkiliberali;;;x
ARA_socialist;Al Ishtiraki;;;x
ARA_communist;Al Shiu'i;;;x
ARA_fascist;Al Fashi;;;x
BRU_ADJ;Bruneian;;;x
CHI;China;;;x
CLM_fascist_dictatorship;Gran Colombia;;;x
CLM_absolute_monarchy;New Granada;;;x
CLM_prussian_constitutionalism;New Granada;;;x
CLM_hms_government;New Granada;;;x
CPL;Congress Poland;;;x
CPL_ADJ;Polish;;;x
CSA_democracy;The Confederate States of America;;;x
CSA_presidential_dictatorship;The Confederate States of America;;;x
CSA_bourgeois_dictatorship;The Confederate States of America;;;x
CSA_absolute_monarchy;The Imperial Confederacy;;;x
CSA_prussian_constitutionalism;The Imperial Confederacy;;;x
CSA;The Confederate States of America;;;x
CSA_fascist_dictatorship;The Confederacy;;;x
CSA_proletarian_dictatorship;The People's Confederacy;;;x
DLM;Illyria;;;x
DLM_ADJ;Illyrian;;;x
FRA_liberal;Republicain;;;x
FRA_liberal_2;Union liberale;;;x
FRA_liberal_3;Republicain liberale;;;x
FRA_conservative;Orleaniste;;;x
FRA_conservative_2;Bonapartiste;;;x
FRA_conservative_3;Republicain modere;;;x
FRA_conservative_4;Orleaniste;;;x
FRA_conservative_5;Royaliste;;;x
GCO;Gran Colombia;;;x
GCO_ADJ;Colombian;;;x
GCO_absolute_monarchy;New Granada;;;x
GCO_prussian_constitutionalism;New Granada;;;x
GCO_hms_government;New Granada;;;x
GCO_absolute_monarchy_ADJ;New Granadan;;;x
GCO_prussian_constitutionalism_ADJ;New Granadan;;;x
GCO_hms_government_ADJ;New Granadan;;;x
GXI_presidential_dictatorship;Guangxi Clique;;;x
HOL_anarcho_liberal;Radicale Partij;;;x
ITA_reactionary;Fazione Monarchica;;;x
ITA_conservative;Destra Liberale;;;x
ITA_liberal;Sinistra Liberale;;;x
ITA_liberal_2;Partito Repubblicano Italiano;;;x
ITA_conservative_2;Partito Liberale Italiano;;;x
ITA_conservative_3;Partito Popolare Italiano;;;x
ITA_socialist;Partito Socialista Italiano;;;x
ITA_anarcho_liberal;Estrema Sinistra Liberale;;;x
ITA_communist;Partito Comunista d'Italia;;;x
ITA_fascist;Partito Nazionale Fascista;;;x
CSA_presidential_dictatorship;The Confederate States of America;;;x
CSA;The Confederate States of America;;;x
CSA_bourgeois_dictatorship;The Confederate States of America;;;x
CSA_fascist_dictatorship;The Confederacy;;;x
CSA_proletarian_dictatorship;The People's Confederacy;;;x
ITA_democracy;The Italian Republic;;;x
ITA_bourgeois_dictatorship_ADJ;Italian;;;x
ITA_proletarian_dictatorship;The People's Republic of Italy;;;x
ITA_proletarian_dictatorship_ADJ;Italian;;;x
JAP_absolute_monarchy;Imperial Japan;;;x
JAP_reactionary;Handoutou;;;x
JAP_conservative;Rikken Teiseitou;;;x
JAP_conservative_2;Rikken Kaishintou;;;x
JAP_reactionary_2;Handoutou;;;x
JAP_conservative_3;Tachiagare Nippon;;;x
JAP_liberal;Aikokusha;;;x
JAP_socialist;Shakaitou;;;x
JAP_anarcho_liberal;Ishin Seito Shimpu;;;x
JAP_communist;Kyousantou;;;x
JAP_fascist;Kokuhonsha;;;x
KLM;Kalimantan;;;x
KLM_ADJ;Kalimantan;;;x
KTI;Kutai;;;x
KTI_ADJ;Kutain;;;x
KTI_conservative;Royal Faction;;;x
KTI_liberal;The Liberal Faction;;;x
KTI_reactionary;The Nationalist Faction;;;x
KTI_anarcho_liberal;The Radical Faction;;;x
KTI_socialist;The Socialist Faction;;;x
KTI_communist;The Communist Faction;;;x
KTI_fascist;The Fascist Faction;;;x
LAN;Lanfang;;;x
LAN_ADJ;Lanfang;;;x
LAN_conservative;Conservative Kongsi;;;x
LAN_liberal;Liberal Kongsi;;;x
LAN_reactionary;Nationalist Kongsi;;;x
LAN_anarcho_liberal;Radical Kongsi;;;x
LAN_socialist;Socialist Kongsi;;;x
LAN_communist;The Communist Kongsi;;;x
LAN_fascist;Fascist Kongsi;;;x
LOM_reactionary;Monarchici;;;x
LOM_liberal;Intransigenti;;;x
LOM_conservative;Transigenti;;;x
LOM_socialist;Socialisti;;;x
LOM_communist;Rivoluzionari;;;x
LOM_reactionary_2;Cattolici;;;x
LOM_anarcho_liberal;Radicali;;;x
LOM_fascist;Fascisti;;;x
LPL;La Plata;;;x
LPL_ADJ;Platinean;;;x
MOD_reactionary;Restaurazionisti;;;x
MOD_conservative;Moderati ;;;x
MOD_liberal;Riformisti ;;;x
MOD_liberal_2;Liberali;;;x
MOD_socialist;Socialisti;;;x
MOD_conservative_2;Popolari;;;x
MOD_anarcho_liberal;Radicali;;;x
MOD_communist;Comunisti;;;x
MOD_fascist;Fascisti;;;x
NEJ_absolute_monarchy;Nejd Emirate;;;x
NEJ_prussian_constitutionalism;Nejd Emirate;;;x
NEJ_hms_government;Nejd Emirate;;;x
NEJ_absolute_monarchy_ADJ;Saudi;;;x
NEJ_prussian_constitutionalism_ADJ;Saudi;;;x
NEJ_hms_government_ADJ;Saudi;;;x
NEJ_conservative;Al-Sa'ud;;;x
NEJ_liberal;Al-Ahrar;;;x
NEJ_reactionary;Al-Da'wa al-Wahhabiyyah;;;x
NEJ_anarcho_liberal;Al-Hizb al-Metterf;;;x
NEJ_socialist;Hizb al-Ba'ath al-'Arabi al-Ishtiraki;;;x
NEJ_communist;Al-Hizb al-Shuyu'i;;;x
NEJ_fascist;Al-Hizb al-Fashy;;;x
NOR_liberal;Liberals;;;x
NOR_liberal_2;Venstre;;;x
NOR_conservative;Conservatives;;;x
NOR_conservative_2;Hoyre;;;x
NOR_conservative_3;Moderate Venstre;;;x
NOR_conservative_4;Samlingspartiet;;;x
NOR_conservative_5;Frisinnede Venstre;;;x
NOR_conservative_6;Kristelig Folkeparti;;;x
NOR_anarcho_liberal_2;Arbeiderdemokratene;;;x
NOR_socialist;Socialists;;;x
NOR_socialist_2;Det Norske Arbeiderparti;;;x
NOR_socialist_3;Norges Socialdemokratiske Arbeiderparti;;;x
NOR_socialist_4;Bondepartiet;;;x
NOR_communist_2;Det Norske Arbeiderparti;;;x
NOR_communist_3;Norges Kommunistiske Parti;;;x
NOR_fascist;Nationalists;;;x
NOR_fascist_2;Nasjonal Samling;;;x
CZH_fascist;Vlajka;;;x
SLV_fascist;Slovenska Ludova Strana;;;x
BEL_fascist;Parti Rexiste;;;x
YEM_proletarian_dictatorship;People's Republic of Yemen;;;x
PAR_reactionary;Restaurazionisti;;;x
PAR_conservative;Moderati;;;x
PAR_liberal;Riformisti;;;x
PAR_liberal_2;Liberali;;;x
PAR_socialist;Socialisti;;;x
PAR_conservative_2;Popolari;;;x
PAR_anarcho_liberal;Radicali;;;x
PAR_communist;Comunisti;;;x
PAR_fascist;Fascisti;;;x
PER;Iran;;;x
PER_ADJ;Iranian;;;x
PER_absolute_monarchy;Persia;;;x
PER_absolute_monarchy_ADJ;Persian;;;x
PER_prussian_constitutionalism;The Imperial State of Iran;;;x
PER_hms_government;The Imperial State of Iran;;;x
PER_bourgeois_dictatorship;The Iranian Free State;;;x
PER_communist;Tudeh Party of Iran;;;x
PER_conservative;Shahist Faction;;;x
PER_reactionary;Ulama Faction;;;x
PER_anarcho_liberal;Bazaari Faction;;;x
PER_socialist;Hizb-e Socialyist;;;x
PER_fascist;SUMKA;;;x
PER_liberal;Constitutionalist Party;;;x
PER_liberal_2;National Front;;;x
PAN_absolute_monarchy;The Sikh Empire;;;x
PAN_prussian_constitutionalism;The Sikh Empire;;;x
PAN_absolute_monarchy_ADJ;Sikh;;;x
PAN_prussian_constitutionalism_ADJ;Sikh;;;x
PAN_fascist_dictatorship;Khalistan;;;x
PAN_fascist_dictatorship_ADJ;Khalistani;;;x
PLC;The Polish-Lithuanian Commonwealth;;;x
PLC_ADJ;Polish-Lithuanian;;;x
PLC_proletarian_dictatorship;The Polish-Lithuanian Republic;;;x
PLC_fascist_dictatorship;The Polish-Lithuanian Republic;;;x
PLC_presidential_dictatorship;The Polish-Lithuanian Republic;;;x
PLC_democracy;Poland-Lithuania;;;x
CHI_conservative;Junjichu;;;x
CHI_conservative_2;Zhiqiang Yundong;;;x
CHI_conservative_3;Beiyang;;;x
CHI_conservative_4;Kuomintang;;;x
CHI_conservative_5;Minzhudang;;;x
CHI_liberal;Gai Liang Pai;;;x
CHI_liberal_2;Xingzhonghui;;;x
CHI_liberal_3;Zhongguo Minzhu Tongmeng;;;x
CHI_liberal_4;Yang Wu Pai;;;x
CHI_reactionary;Kongjiao Yundong;;;x
CHI_reactionary_2;Jenbudang;;;x
CHI_anarcho_liberal;Zhongguo Minzhu Jianguo Hue;;;x
CHI_socialist;Zhongguo Guojia Shehui Dang;;;x
CHI_communist;Zhongguo Gongchandang;;;x
CHI_fascist;Kai-tsu P'ai;;;x
RHI;Rhineland;;;x
RHI_ADJ;Rhinelander;;;x
RHI_liberal;Liberaldem. Partei;;;x
RHI_conservative;Zentrumspartei;;;x
RHI_liberal_2;Nationalliberale;;;x
RHI_liberal_3;Freisinnige Partei;;;x
RHI_socialist;Deutscher Arbeiterverein;;;x
RHI_socialist_2;Sozialdem. Arbeiterpartei;;;x
RHI_socialist_3;Sozial. Arbeiterpartei;;;x
RHI_reactionary;Nationale Partei;;;x
RHI_conservative_2;Konservative Partei;;;x
RHI_conservative_3;Christsoz. Arbeiterpartei;;;x
RHI_anarcho_liberal;Radical Arbeiterpartei;;;x
RHI_communist;Communist Arbeiterpartei;;;x
RHI_fascist;NSDP;;;x
RHO_democracy;Rhodesia;;;x
RUT_proletarian_dictatorship;West Ukrainian People's Republic;;;x
RUT_proletarian_dictatorship_ADJ;West Ukrainian;;;x
RUT_democracy;West Ukraine;;;x
RUT_democracy_ADJ;West Ukrainian;;;x
RUT_presidential_dictatorship;West Ukraine;;;x
RUT_presidential_dictatorship_ADJ;West Ukrainian;;;x
SAR_reactionary;Restaurazionisti;;;x
SAR_conservative;Moderati;;;x
SAR_liberal;Riformisti;;;x
SAR_liberal_2;Liberali;;;x
SAR_socialist;Socialisti;;;x
SAR_conservative_2;Popolari;;;x
SAR_anarcho_liberal;Radicali;;;x
SAR_communist;Comunisti;;;x
SAR_fascist;Fascisti;;;x
SAK;Siak;;;x
SAK_ADJ;Siak;;;x
SLW;Celebes;;;x
SLW_ADJ;Sulawesian;;;x
SLW_absolute_monarchy;Bone Sultanate;;;x
SLW_prussian_constitutionalism;Bone Sultanate;;;x
SLW_hms_government;Bone Sultanate;;;x
SUL;Sulu;;;x
SUL_ADJ;Sulu;;;x
SUL_conservative;Conservatist Faction;;;x
SUL_liberal;Reformist Faction;;;x
SUL_socialist;Progressive Faction;;;x
SUL_communist;Communist Faction;;;x
SUL_reactionary;Nationalist Faction;;;x
SUL_anarcho_liberal;Radical Faction;;;x
SUL_fascist;Fascist Faction;;;x
SWK;Sarawak;;;x
SWK_ADJ;Sarawakian;;;x
SWK_fascist_dictatorship;Borneo Republic;;;x
SWK_fascist_dictatorship_ADJ;Bornean;;;x
SWK_conservative;Rajah Faction;;;x
SWK_liberal;The Liberal Faction;;;x
SWK_reactionary;The Nationalist Faction;;;x
SWK_anarcho_liberal;The Radical Faction;;;x
SWK_socialist;The Socialist Faction;;;x
SWK_communist;The Communist Faction;;;x
SWK_fascist;The Borneo Faction;;;x
SIE;Transylvania;;;x
SIE_ADJ;Transylvanian;;;x
SXI;Shanxi;;;x
SXI_presidential_dictatorship;Shanxi Clique;;;x
TRE_reactionary;Monarchici;;;x
TRE_liberal;Intransigenti;;;x
TRE_conservative;Transigenti;;;x
TRE_socialist;Socialisti;;;x
TRE_communist;Rivoluzionari;;;x
TRE_reactionary_2;Cattolici;;;x
TRE_anarcho_liberal;Radicali;;;x
TRE_fascist;Fascisti;;;x
BYZ;Byzantine Empire;;;x
BYZ_ADJ;Byzantine;;;x
BYZ_democracy;The Byzantine Federation;;;x
BYZ_presidential_dictatorship;The Byzantine Federation;;;x
BYZ_bourgeois_dictatorship;The Byzantine Federation;;;x
BYZ_proletarian_dictatorship;The Socialist Byzantine Union;;;x
TUR;Turkey;;;x
TUR_ADJ;Turkish;;;x
TUR_absolute_monarchy;The Ottoman Empire;;;x
TUR_absolute_monarchy_ADJ;Ottoman;;;x
TUR_prussian_constitutionalism;The Ottoman Empire;;;x
TUR_prussian_constitutionalism_ADJ;Ottoman;;;x
TUR_hms_government;The Ottoman Empire;;;x
TUR_hms_government_ADJ;Ottoman;;;x
TUR_bourgeois_dictatorship;Turkish Free State;;;x
TUR_proletarian_dictatorship;Turkish Socialist Republic;;;x
TUR_proletarian_dictatorship_ADJ;Turkish;;;x
TUR_reactionary;Nizam-i Alem;;;x
TUR_reactionary_2;Ittihad-i Muhammedi Firkasi;;;x
TUR_reactionary_3;Halaskar Zabitan;;;x
TUR_reactionary_4;Fedailer Cemiyeti;;;x
TUR_conservative;Hukumet-i Humayun;;;x
TUR_conservative_2;Selamet-i Osmaniye;;;x
TUR_conservative_3;Hurriyet ve Itilaf Firkasi;;;x
TUR_liberal_2;Tanzimat Firkasi;;;x
TUR_liberal_4;Osmanli Demokrat Firkasi;;;x
TUR_liberal_5;Halk Firkasi;;;x
TUR_socialist;Osmanli Koylu ve Amele Firkasi;;;x
TUR_socialist_3;Sosyalist Firka;;;x
TUR_communist;Ihtilalci Avam Firkasi;;;x
TUR_communist_2;Komunist Firka;;;x
TUR_communist_3;Halk Istirakiyun Firkasi;;;x
TUR_liberal;Ittihat ve Terakki Firkasi;;;x
TUR_liberal_3;Yeni Osmanlilar Cemiyeti;;;x
TUR_socialist_2;Osmanli Ahali Firkasi;;;x
TUR_anarcho_liberal;Osmanli Ahrar Firkasi;;;x
TUR_fascist;Ittihat ve Terakki Firkasi;;;x
TUR_fascist_2;Turk Ocagi;;;x
TUR_fascist_3;Milli Firka;;;x
TUS_reactionary;Restaurazionisti;;;x
TUS_conservative;Moderati ;;;x
TUS_liberal;Riformisti ;;;x
TUS_liberal_2;Liberali;;;x
TUS_socialist;Socialisti;;;x
TUS_conservative_2;Popolari;;;x
TUS_anarcho_liberal;Radicali;;;x
TUS_communist;Comunisti;;;x
TUS_fascist;Fascisti;;;x
USA;The United States of America;;;x
USA_bourgeois_dictatorship;The United States of America;;;x
