;;;;;;;x
GEO_conservative;Demokratiuli Modzraoba;;;;;;;x
GEO_liberal;Sakartvelos Respublikuri;;;;;;;x
GEO_reactionary;Natsionaluri Modzraoba;;;;;;;x
GEO_anarcho_liberal;Sakartvelos Gza;;;;;;;x
GEO_socialist;Sakartvelos Leiboristuli;;;;;;;x
GEO_communist;Sakartvelos Komunisturi;;;;;;;x
GEO_fascist;Erovnuli Sotsialisturi;;;;;;;x
UKR_conservative;Ukrainian Democratic Agrarian Party;;;;;;;x
UKR_liberal;Ukrainian Democratic Party;;;;;;;x
UKR_reactionary;Congress of Landowners;;;;;;;x
UKR_anarcho_liberal;Ukrainian Radical Party;;;;;;;x
UKR_socialist;Ukrainian Social Democratic Labour Party;;;;;;;x
UKR_communist;Ukrainian Communist Party;;;;;;;x
UKR_fascist;Organization of Ukrainian Nationalists;;;;;;;x
TUN;Tunisia;;;;;;;x
TUN_absolute_monarchy;Tunis;;;;;;;x
TUN_prussian_constitutionalism;Tunis;;;;;;;x
ALB_communist;Partia e Punës e Shqipërisë;;;;;;;x
ALB_fascist;Partia Fashiste e Shqipërisë;;;;;;;x
ALB_conservative;Lëvizja Legalitetit;;;;;;;x
AUS_communist;Kommunistische Partei Österreichs;;;;;;;x
BEL_communist;Parti Communiste de Belgique;;;;;;;x
BUL_socialist;BRSDP;;;;;;;x
BUL_liberal;Balgarski Zemedelski Naroden Sayuz;;;;;;;x
BUL_anarcho_liberal;Radoslavists;;;;;;;x
BUL_communist;Balgarska Komunisticheska Partiya;;;;;;;x
BUL_conservative;Mladoliberalna Partija-Toncevisti;;;;;;;x
CAN_socialist;Socialist Party of Canada;;;;;;;x
CAN_communist;Communist Party of Canada;;;;;;;x
CAN_conservative;Conservative Party of Canada;;;;;;;x
CAN_reactionary;Tories;;;;;;;x
CAN_liberal_1;Red Party;;;;;;;x
CAN_liberal_2;Liberal Party of Canada;;;;;;;x
DAI;Vietnam;;;;;;;x
DAI_communist;Viet Nam Cong san Ðang;;;;;;;x
ENG_communist;Communist Party of Great Britain;;;;;;;x
FIN_fascist;Isänmaallinen kansanliike;;;;;;;x
MEX_socialist;Partido Laborista Mexicano;;;;;;;x
MEX_communist;Partido Socialista Obrero;;;;;;;x
MEX_fascist;Unión Nacional Sinarquista;;;;;;;x
NET_conservative;Anti-Revolutionaire Partij;;;;;;;x
HOL_socialist_1;Sociaal-Democratische Vereeniging;;;;;;;x
HOL_socialist_2;Sociaal-Democratische Bond;;;;;;;x
HOL_socialist_3;Sociaal Democratische Arbeiders Partij;;;;;;;x
HOL_fascist;Verbond Van Actualisten;;;;;;;x
POR_socialist;Partido Socialista Português;;;;;;;x
POR_communist;Partido Comunista Português;;;;;;;x
RUS_fascist;All-Russian Fascist Party;;;;;;;x
SER_reactionary;Nacionalna Stranka;;;;;;;x
SER_communist;Srpska Socijaldemokratska Partija;;;;;;;x
SER_fascist;Narodna Odbrana;;;;;;;x
SER_conservative;Ustavobranitelji;;;;;;;x
SER_conservative_2;Konzervativna Stranka;;;;;;;x
SER_conservative_3;Srpska Napredna Stranka;;;;;;;x
SER_socialist;Samostalna Radikalna Stranka;;;;;;;x
SER_liberal;Liberalna Stranka;;;;;;;x
SER_liberal_2;Narodna Radikalna Stranka;;;;;;;x
SER_anarcho_liberal;Anarho-Liberalno Stranka;;;;;;;x
GRE_communist;Kommounistikó Kómma Elládas;;;;;;;x
GRE_socialist;Sosialistikó Kómma Elládas;;;;;;;x
GRE_fascist;Ethniki Enosis Ellados;;;;;;;x
GRE_anarcho_liberal;Ethnikón Rizospastikón Kómma;;;;;;;x
GRE_reactionary;Kómma ton Napaíon;;;;;;;x
GRE_conservative;Syntagmatikó Kómma;;;;;;;x
GRE_conservative_2;Kómma Ethnikófronon;;;;;;;x
GRE_liberal;Ethnikó Kómma;;;;;;;x
GRE_liberal_2;Neoteristikón Kómma;;;;;;;x
USA_socialist;Workingmen's Party;;;;;;;x
USA_communist;Communist Party USA;;;;;;;x
USA_fascist;Silver Legion of America;;;;;;;x
YUG_reactionary;Jugoslovenska Nacionalna Stranka;;;;;;;x
YUG_liberal;Samostalna Demokratska Stranka;;;;;;;x
YUG_anarcho_liberal;Narodna Radikalna Stranka;;;;;;;x
YUG_communist;Komunisticka Partija Jugoslavije;;;;;;;x
YUG_socialist;Socijalisticka Radnicka Partija Jugoslavije;;;;;;;x 
YUG_conservative;Jugoslovanska Demokratska Stranka;;;;;;;x
UBD;The United Baltic Provinces;;;;;;;x
UBD_democracy;The Baltic Union;;;;;;;x
UBD_proletarian_dictatorship;The Baltic Worker's Union;;;;;;;x
UBD_fascist;Baltic Fascist Union;;;;;;;x
UBD_communist;Baltic Communist Party;;;;;;;x
UBD_socialist;Union of Baltic Workers and Socialists;;;;;;;x
UBD_socialist_2;Baltic Labour Party;;;;;;;x
UBD_anarcho_liberals;Radical Party;;;;;;;x
UBD_liberal_2;The All-Baltic Landtag;;;;;;;x
UBD_liberal;Progressive Union;;;;;;;x
UBD_conservative_2;Union of Landowners and Farmers;;;;;;;x
UBD_reactionary;Royalist Faction;;;;;;;x
UBD_conservative;German Landtag;;;;;;;x
EST_fascist;Vabadussõjalased;;;;;;;x
EST_communist;Eestimaa Kommunistlik Partei;;;;;;;x
EST_socialist;Eesti Sotsialistlik Tööliste Partei;;;;;;;x
EST_socialist_2;Eesti Tööerakond;;;;;;;x
EST_anarcho_liberal;Radikaal-Demokraatlik Erakond;;;;;;;x
EST_liberal;Asunikkude Partei;;;;;;;x
EST_conservative;Põllumeeste Kogud;;;;;;;x
EST_conservative_2;Kristlik Rahvaerakond;;;;;;;x
EST_reactionary;Eesti Rojalistlik Partei;;;;;;;x
EST_reactionary_2;Isamaaliit;;;;;;;x
LIV_fascist;Perkonkrusts;;;;;;;x
LIV_communist;Latvijas Komunistiska Partija;;;;;;;x
LIV_socialist_2;Mazinieki;;;;;;;x
LIV_socialist;LSDSP;;;;;;;x
LIV_anarcho_liberal;Latvijas Radikaldemokratu Partija;;;;;;;x
LIV_liberal_2;Blodnieka Partija;;;;;;;x
LIV_liberal;Demokratiskais Centrs;;;;;;;x
LIV_conservative_2;Kristigo Zemnieku un Katolu Partija;;;;;;;x
LIV_conservative;Latviešu Zemnieku Savieniba;;;;;;;x
LIV_reactionary_2;Nacionala Apvieniba;;;;;;;x
LIV_reactionary;Rojalistu Partija;;;;;;;x
URU_liberal_2;Colorados;;;;;;;x
URU_socialist;Partido Socialista;;;;;;;x
URU_communist;Partido Comunista;;;;;;;x
LIT_reactionary;Monarchizmas Frakcija;;;;;;;x
LIT_reactionary_2;Lietuviu Tautininku Sajunga;;;;;;;x
LIT_conservative;Lietuvos Darbo Federacija;;;;;;;x
LIT_conservative_2;LKDP;;;;;;;x
LIT_anarcho_liberal;Tautos Pažangos Partija;;;;;;;x
LIT_liberal;Lietuviu Demokratu Partij;;;;;;;x
LIT_liberal_2;Lietuvos Valstieciu Liaudininku Sajunga;;;;;;;x
LIT_socialist;LSDP;;;;;;;x
LIT_communist;Lietuvos Komunistu Partija;;;;;;;x
LIT_fascist;Lietuvos Šauliu Sajunga;;;;;;;x
EGY_democracy;The Republic of Egypt;;;;;;;x
QUE_ADJ;Quebecois;;;;;;;x
LIB_conservative;Republican Party;;;;;;;x
LIB_conservative_2;Democratic Party;;;;;;;x
LIB_liberal;True Whig Party;;;;;;;x
LIB_liberal_2;Pan-African Party;;;;;;;x
LIB_socialist;African Revolutionary Party;;;;;;;x
LIB_reactionary;Nationalist Party;;;;;;;x
LIB_anarcho_liberal;Radical Party;;;;;;;x
LIB_communist;Communist Party;;;;;;;x
LIB_fascist;Fascist Party;;;;;;;xs
WEI;Saxe-Weimar;;;;;;;x
ENG_fascist_dictatorship;The Union of Britain;;;;;;;x
ENG_democracy;The British Commonwealth;;;;;;;x
ENG_presidential_dictatorship;The British Commonwealth;;;;;;;x
ENG_bourgeois_dictatorship;The British Commonwealth;;;;;;;x
shilluk;Shilluk;;;;;;;x
PBC;Peru-Bolivia;;;;;;;x
YNN_reactionary_2;Confucianist Tusi;;;;;;;x
YNN_liberal_2;Westernizer Tusi;;;;;;;x
YNN_conservative_2;Local Tusi;;;;;;;x
XIN_reactionary_2;Confucianist Faction;;;;;;;x
XIN_conservative_2;Amban Faction;;;;;;;x
XIN_liberal_2;Reformer Faction;;;;;;;x
KOR;Korea;;;;;;;x
KOR_absolute_monarchy;The Kingdom of Joseon;;;;;;;x
KOR_proletarian_dictatorship;DPRK;;;;;;;x
KOR_reactionary;Bandong;;;;;;;x
KOR_liberal;Taewon'gun;;;;;;;x
KOR_liberal_2;Songgyungwan;;;;;;;x
KOR_conservative;Tong Hak;;;;;;;x
KOR_liberal_3;Silhak;;;;;;;x
KOR_anarcho_liberal;Geubjinpa;;;;;;;x
KOR_conservative_2;Wangdangpa;;;;;;;x
KOR_socialist;Sahoe-tang;;;;;;;x
KOR_communist;Choson Kongsantang;;;;;;;x
KOR_fascist;Pasiseuteu Pati;;;;;;;x
MCK;Manchuria;;;;;;;x
MCK_fascist_dictatorship;Manzhouguo;Manchukuo;Manchukuo;;;;;;;x
MCK_presidential_dictatorship;Fengtian Clique;;;;;;;x
MCK_ADJ;Manchu;Mandchou;Manchu;;;;;;;x
MCK_presidential_dictatorship_ADJ;Fengtian;;;;;;;x
PROV2281;Esmeraldas;;;;;;;x
PROV1363;Pakse;;;;;;;x
PROV1364;Phnom Penh;;;;;;;x
PROV1464;Jolo;;;;;;;x
ATJ;Aceh;;;;;;;x
ATJ_ADJ;Acehnese;;;;;;;x
JOH;Johor;;;;;;;x
BRZ_absolute_monarchy;The Empire of Brazil;;;;;;;x
BRZ_prussian_constitutionalism;The Empire of Brazil;;;;;;;x,,,
BRZ_hms_government;The Empire of Brazil;;;;;;;x,,
BRZ_dominion;The Kingdom of Brazil;;;;;;;x,,
BRZ_colonial_company;Brazil;;;;;;;x,,
ARC;Argentina;;;;;;;x,,
ARC_democracy;Argentine Confederation;;;;;;;x,,
ARC_presidential_dictatorship;Argentine Confederation;;;;;;;x,,
ARC_proletarian_dictatorship;Communist Federation of Argentina;;;;;;;x,,
ARC_ADJ;Argentinian;;;;;;;x,,
MUG_absolute_monarchy;The Mughal Empire;;;;;;;x,,
MUG_prussian_constitutionalism;The Mughal Empire;;;;;;;x,,
MUG_fascist_dictatorship;The Gurkani Republic;;;;;;;x,,
MUG_proletarian_dictatorship;People's Republic of Mughalistan;;;;;;;x,,
MUG_conservative;Mir Saman;;;;;;;x
MUG_liberal;Hanafi;;;;;;;x
MUG_reactionary;Mir Bakshi;;;;;;;x
MUG_anarcho_liberal;The Radical Party;;;;;;;x
MUG_socialist;The Socialist Party;;;;;;;x
MUG_communist;The Communist Party;;;;;;;x
MUG_fascist;The Fascist Party;;;;;;;x
WRL;Warsangali;;;;;;;x,,
WRL_ADJ;Somali;;;;;;;x,,
CAN_liberal;Liberal Party;Parti lib?al;Liberale Partei;;Partido Liberal;;;;;;;x
CAN_anarcho_liberal;One Big Union;Parti radical;Radical Party;;Partido Radical;;;;;;;x
CAN_fascist;National Unity Party;;;;;;;x
BRZ_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;x
BRZ_conservative;Partido Conservador;;;;;;;x
BRZ_reactionary;Partido Restaurador;;;;;;;x
BRZ_reactionary2;Partido Republicano Riograndense;;;;;;;x
BRZ_conservative_2;Partido Republicano Paulista;;;;;;;x
BRZ_liberal_2;Partido Republicano Carioca;;;;;;;x
BRZ_anarcho_liberal;Partido Anarquista;;;;;;;x
BRZ_socialist;Partido Socialista;;;;;;;x
BRZ_communist;Partido Comunista;;;;;;;x
BRZ_fascist;Ação Integralista Brasileira;;;;;;;x
PNB;Pernambuco;;;;;;;x
PNB_ADJ;Pernambucano;;;;;;;x
SWI_communist;Kommunistische Partei;;;;;;;x
SWI_fascist;Nationale Front;;;;;;;x
FRA_fascist;Parti Franciste;;;;;;;x
FRA_reactionary_2;Droite Nationaliste;;;;;;;x
FRA_anarcho_liberal;Républicain Radical;;;;;;;x
GER_fascist;NSDAP;;;;;;;x
POL_fascist;ONR-Falanga;;;;;;;x
HAI_conservative;Parti National;;;;;;;x
HAI_liberal;Parti Liberal;;;;;;;x
HAI_reactionary;Haitien Nationaliste Parti;;;;;;;x
HAI_anarcho_liberal;Parti Radical;;;;;;;x
HAI_socialist;Parti Socialiste;;;;;;;x
HAI_communist;Parti Communiste Haitien;;;;;;;x
HAI_fascist;Parti Fasciste;;;;;;;x
CHK;Champassak;Champassak;Champassak;Champasak;Champasak;Champassak;Champassak;Champassak;;;;;;;x
CHK_ADJ;Champassaki;champassak;Champassaki;Champasak;Champassak;Champassaki;Champassakijský;;;;;;;x
CHK_conservative;Royal Faction;;;;;;;x
CHK_liberal;The Liberal Faction;;;;;;;x
CHK_reactionary;The Nationalist Faction;;;;;;;x
CHK_anarcho_liberal;The Radical Faction;;;;;;;x
CHK_socialist;The Socialist Faction;;;;;;;x
CHK_communist;The Communist Faction;;;;;;;x
CHK_fascist;The Fascist Faction;;;;;;;x
CRO_conservative;Hrvatska Stranka Prava;;;;;;;x
CRO_liberal;Narodna Stranka;;;;;;;x
CRO_reactionary;Nacionalisticka Partija;;;;;;;x
CRO_anarcho_liberal;Anarhisticki Partija;;;;;;;x
CRO_socialist;Socijalisticka Partija;;;;;;;x
CRO_communist;Komunisticka Partija;;;;;;;x
CRO_fascist;Ustasha;;;;;;;x
D01;$REGION$;;Das Königreich von $REGION$;;;;;;;x
D01_ADJ;$REGION$;;königstreu;;;;;;;x
D02;The Confederation of $REGION$;;Die Konföderation von $REGION$;;;;;;;x
D02_ADJ;$REGION$;;konföderiert;;;;;;;x
D03;Commonwealth of $REGION$;;Commonwealth von $REGION$;;;;;;;x
D03_ADJ;Commonwealth;;Commonwealth-;;;;;;;x
D04;$REGION$;;Die Republik von $REGION$;;;;;;;x
D04_ADJ;$REGION$;;republikanisch;;;;;;;x
D05;$REGION$ Free State;;Der $REGION$-Staat;;;;;;;x
D05_ADJ;$REGION$;;staatlich;;;;;;;x
D06;$REGION$;;Die Volksrepublik von $REGION$;;;;;;;x
D06_ADJ;$REGION$;;republikanisch;;;;;;;x
D07;The Free State of $REGION$;;Der Freistaat von $REGION$;;;;;;;x
D07_ADJ;$REGION$;;freistaatlich;;;;;;;x
D08;$REGION$;;Der Großstaat von $REGION$;;;;;;;x
D08_ADJ;$REGION$;;großstaatlich;;;;;;;x
D09;$REGION$;;Der Staat von $REGION$;;;;;;;x
D09_ADJ;$REGION$;;staatlich;;;;;;;x
D10;$REGION$;;Das Fürstentum von $REGION$;;;;;;;x
D10_ADJ;$REGION$;;fürstlich;;;;;;;x
D11;$REGION$;;Die Demokratische Republik von $REGION$;;;;;;;x
D11_ADJ;$REGION$;;depublikanisch;;;;;;;x
D12;The $REGION$ Union;;Die $REGION$-Union;;;;;;;x
D12_ADJ;$REGION$;;Unions-;;;;;;;x
D13;$REGION$;;Das $REGION$-Königreich;;;;;;;x
D13_ADJ;$REGION$;;königstreu;;;;;;;x
D14;The Dominion of $REGION$;;Das Dominion von $REGION$;;;;;;;x
D14_ADJ;Dominion;;Dominions-;;;;;;;x
D15;$REGION$;;Das Großherzogtum von $REGION$;;;;;;;x
D15_ADJ;$REGION$;;großherzogstreu;;;;;;;x
D16;The $REGION$ Commonwealth;;Die $REGION$-Nation;;;;;;;x
D16_ADJ;$REGION$;;national;;;;;;;x
D17;The $REGION$ Federation;;Die $REGION$-Föderation;;;;;;;x
D17_ADJ;$REGION$;;Föderations-;;;;;;;x
D18;The United States of $REGION$;;Die Vereinigten Staaten von $REGION$;;;;;;;x
D18_ADJ;$REGION$;;Unions-;;;;;;;x
D19;The Union of $REGION$;;Die Demokratische Union von $REGION$;;;;;;;x
D19_ADJ;$REGION$;;Unions-;;;;;;;x
D20;$REGION$;;Das Fürstentum von $REGION$;;;;;;;x
D20_ADJ;$REGION$;;fürstlich;;;;;;;x
D21;$REGION$;;Die Union von $REGION$;;;;;;;x
D21_ADJ;$REGION$;;Unions-;;;;;;;x
D22;$REGION$;;Die Demokratische Volksrepublik von $REGION$;;;;;;;x
D22_ADJ;$REGION$;;demokratisch-republikanisch;;;;;;;x
D23;$REGION$;;Das $REGION$-Gebiet;;;;;;;x
D23_ADJ;$REGION$;;ortsansässig;;;;;;;x
D24;$REGION$;;Die Glorreiche Union von $REGION$;;;;;;;x
D24_ADJ;$REGION$;;glorreich;;;;;;;x
D25;$REGION$;;Das mächtige Gebiet von $REGION$;;;;;;;x
D25_ADJ;$REGION$;;mächtig;;;;;;;x
D26;The $REGION$ Free State;;Der $REGION$-Freistaat;;;;;;;x
D26_ADJ;$REGION$;;freistaatlich;;;;;;;x
D27;The $REGION$ Commonwealth;;$REGION$-Commonwealth;;;;;;;x
D27_ADJ;Commonwealth;;Commonwealth-;;;;;;;x
D28;The $REGION$ Confederacy;;Die $REGION$-Konföderation;;;;;;;x
D28_ADJ;Confederate;;konföderiert;;;;;;;x
D29;$REGION$;;Das Freie Volk von $REGION$;;;;;;;x
D29_ADJ;$REGION$;;frei;;;;;;;x
D30;$REGION$;;Die $REGION$-Republik;;;;;;;x
D30_ADJ;$REGION$;;republikanisch;;;;;;;x
D31;$REGION$;;Die Heilige Union von $REGION$;;;;;;;x
D31_ADJ;$REGION$;;zelotisch;;;;;;;x
D32;Union of $REGION$;;Die Volks-Union von $REGION$;;;;;;;x
D32_ADJ;$REGION$;;Unions-;;;;;;;x
D33;$REGION$ Federation;;Die Föderationsstaaten von $REGION$;;;;;;;x
D33_ADJ;Federation;;Föderations-;;;;;;;x
D34;$REGION$;;Der $REGION$-Föderationsstaat;;;;;;;x
D34_ADJ;$REGION$;;Föderations-;;;;;;;x
D35;The $REGION$ Confederation;;Die $REGION$-Konföderation;;;;;;;x
D35_ADJ;$REGION$;;konföderiert;;;;;;;x
D36;The $REGION$ Federation;;Die $REGION$-Föderation;;;;;;;x
D36_ADJ;$REGION$;;Föderations-;;;;;;;x
D37;The $REGION$ Union;;Die Fromme Union von $REGION$;;;;;;;x
D37_ADJ;$REGION$;;fromm;;;;;;;x
D38;$REGION$;;$REGION$-Land;;;;;;;x
D38_ADJ;$REGION$;;Landes-;;;;;;;x
D39;$REGION$;;Die Republik der Ruhe von $REGION$;;;;;;;x
D39_ADJ;$REGION$;;ruhig;;;;;;;x
D40;$REGION$;;Das Geheime Königreich von $REGION$;;;;;;;x
D40_ADJ;$REGION$;;geheim;;;;;;;x
D41;$REGION$;;Die Kommune von $REGION$;;;;;;;x
D41_ADJ;$REGION$;;kommunistisch;;;;;;;x
D42;Dominion of $REGION$;;Die $REGION$-Kommune;;;;;;;x
D42_ADJ;$REGION$;;kommunistisch;;;;;;;x
D43;$REGION$;;Die Arbeiter-Union von $REGION$;;;;;;;x
D43_ADJ;$REGION$;;Arbeiter-;;;;;;;x
D44;$REGION$;;Die Landgrafschaft von $REGION$;;;;;;;x
D44_ADJ;$REGION$;;landgrafschaftlich;;;;;;;x
D45;$REGION$;;Die Nation von $REGION$;;;;;;;x
D45_ADJ;$REGION$;;national;;;;;;;x
D46;$REGION$;;Die Heilige Region von $REGION$;;;;;;;x
D46_ADJ;$REGION$;;zelotisch;;;;;;;x
D47;The $REGION$ Dominion;;Das $REGION$-Dominion;;;;;;;x
D47_ADJ;$REGION$;;beherrschend;;;;;;;x
D48;$REGION$;;Der Volksstaat von $REGION$;;;;;;;x
D48_ADJ;$REGION$;;völkisch;;;;;;;x
D49;$REGION$;;Das Hohe Königreich von $REGION$;;;;;;;x
D49_ADJ;$REGION$;;hochköniglich;;;;;;;x
D50;$REGION$;;Das Kleinere Fürstentum von $REGION$;;;;;;;x
D50_ADJ;$REGION$;;fürstlich;;;;;;;x
ABU;United Arab Emirates;;;;;;;x
ABU_ADJ;Emirati;;;;;;;x
ABU_absolute_monarchy;The Trucial States;;;;;;;x
ABU_absolute_monarchy_ADJ;Trucial;;;;;;;x
ABU_bourgeois_dictatorship;United Arab Councils;;;;;;;x
ABU_bourgeois_dictatorship_ADJ;Arabic;;;;;;;x
ABU_fascist_dictatorship;The Emirate;;;;;;;x
ABU_fascist_dictatorship_ADJ;Emirati;;;;;;;x
ABU_proletarian_dictatorship;People's Arabic Republic;;;;;;;x
ABU_proletarian_dictatorship_ADJ;Arabic;;;;;;;x
ACR;Acre;;;;;;;x
ACR_ADJ;Acrean;;;;;;;x
ACR_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;x
ACR_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;x
ACR_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;x
ACR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;x
ACR_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;x
ACR_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;x
ACR_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;x
EZO;Ezo;;;;;;;x
EZO_ADJ;Ezo;;;;;;;x
EZO_democracy;The Republic of Ezo;;;;;;;x
EZO_presidential_dictatorship;The Republic of Ezo;;;;;;;x
EZO_fascist_dictatorship;The Shogunate;;;;;;;x
EZO_proletarian_dictatorship;The People's Republic of Ezo;;;;;;;x
EZO_conservative;Shinsengumi;;;;;;;x
EZO_liberal;Shishi;;;;;;;x
EZO_socialist;Progressive Party;;;;;;;x
EZO_communist;Communist Party;;;;;;;x
EZO_reactionary;Bakufu Faction;;;;;;;x
EZO_anarcho_liberal;Radical Party;;;;;;;x
EZO_fascist;Kokutai Faction;;;;;;;x
AKH;Astrakhan;;;;;;;x
AKH_ADJ;Astrakhan;;;;;;;x
AKH_conservative;The Conservatives;Faction royale;Königsfraktion;;;;;;;x
AKH_liberal;The Liberals;Faction libérale;Die liberale Fraktion;;;;;;;x
AKH_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;x
AKH_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;x
AKH_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;x
AKH_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;x
AKH_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;x
ALS;Elsass;;;;;;;x
ALS_ADJ;Alsatian ;;;;;;;x
ALS_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;;;;;;x
ALS_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;;;;;;x
ALS_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;;;;;;x
ALS_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;x
ALS_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;;;;;;x
ALS_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;x
ALS_communist;Communist Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;;;;;;x
ALS_fascist;NSDP;NSDP;NSDP;;;;;;;x
ALT;Altai Republic;;;;;;;x
ALT_absolute_monarchy;Altai Union;;;;;;;x
ALT_hms_government;Altai Union;;;;;;;x
ALT_prussian_constitutionalism;Altai Union;;;;;;;x
ALT_ADJ;Altaic;;;;;;;x
ALT_conservative;The Conservatives;Faction royale;Königsfraktion;;;;;;;x
ALT_liberal;The Liberals;Faction libérale;Die liberale Fraktion;;;;;;;x
ALT_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;x
ALT_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;x
ALT_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;x
ALT_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;x
ALT_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;x
ANG;Angola;;;;;;;x
ANG_ADJ;Angolan;;;;;;;x
ANG_liberal;Liberal Democratic Party;;;;;;;x
ANG_conservative;FNLA;;;;;;;x
ANG_socialist;Social Renewal Party;;;;;;;x
ANG_reactionary;UNITA;;;;;;;x
ANG_anarcho_liberal;Radical-Liberal Party of Angola;;;;;;;x
ANG_communist;MPLA;;;;;;;x
ANG_fascist;Fascist Party of Angola;;;;;;;x
ANI_absolute_monarchy;Antillean Empire;Empire of Antillia;Empire of Antillia;;Empire of Antillia;;;;;;;x ;
ANI_proletarian_dictatorship;Antillean Republic;the Red Indies;the Red Indies;;the Red Indies;;;;;;;x ;
ANI_presidential_dictatorship;Antillean Republic;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;x ;
ANI_fascist_dictatorship;Antillean Republic;the Black Isles;the Black Isles;;the Black Isles;;;;;;;x ;
ANI_bourgeois_dictatorship;Antillean Republic;Pirates of the Caribbean;Pirates of the Caribbean;Pirates of the Caribbean;;;;;;;x ;
ANI;Antilles Confederation;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;x
ANI_ADJ;Antillean;Antillean;Antillean;;Antillean;;;;;;;x
ANT;Anatolia;;;;;;;x
ANT_ADJ;Anatolian;;;;;;;x
