color = { 10  190  15 }
graphical_culture = EuropeanGC
        Lorelai Rhinelander Brandenburg Braunschweig Deutschland Hannover Hessen "Kaiser Barbarossa" "Kaiser Friedrich III" "Kaiser Karl der Grosse" "Kurfurst Friedrich Wilhelm"
        Mecklenburg Pommern Preussen Schlesien Schleswig-Holstein Wettin
    }
    cruiser = {
        Lorelai Amazone Arcona Ariadne Berlin Blucher Blitz Bremen Bremse Breslau Brummer Bussard Koln Comet Condor Cormoran Danzig Deutschland Dresden
        Elbing Emden Falke Frankfurt Freya "Friedrich Carl" "Furst Bismarck" Gazelle Gefion Geier Gneisenau Graudenz Greif Hamburg Hansa Hela Hertha Irene Jagd
        "Kaiserin Augusta" Konigsberg Kolberg Leipzig Lubeck Magdeburg Medusa Meteor Niobe Nymphe Pillau "Prinz Adalbert" "Prinz Heinrich" "Prinz Wilhelm"
        Regensburg Roon Rostock Scharnhorst Schwalbe Seeadler Sperber Stettin Stralsund Thetis Undine "Victoria Louise" Vineta Wacht Yorck
    }
    frigate = {
        Lorelai Adler Albatross Alexandrine Amazone Arcona Ariadne Augusta Barbarossa Basilisk Bismarck Blitz Blucher Cameleon Comet Cyclop Delphin
        "Der Konigliche Ernst August" Deutschland Drache Eber Eckernforde Elbe Elisabeth "Erzherzog Johann" Franklin Freya Fuchs Gazelle Gefion Gneisenau Grille
        "Grossherzog von Oldenburg" Habicht Hay Hertha Hyane Iltis Jager Luise Meteor Natter Niobe Nymphe Pfeil Salamander Schwalbe Skorpion Sperber Stein Stosch
        Thetis Tiger Undine Victoria Vineta Wespe Wolf Ziethen
    }
    monitor = {
        Lorelai Agir Basilisk Beowulf Biene Bremse Brummer Cameleon Crocodill Frithjof Hagen Heimdall Hildebrand Hummel Mucke Natter Odin Rhein Sachsen
        Salamander Skorpion Siegfried Viper Wespe
    }
    clipper_transport = {
        America Deutschland Elbe Europa Hansa Hela Hermann Hudson "New York" Nord-Amerika Pamir Pangani Passat Peking "Peter Rickmers"
        Petschili Pisagua Pitlochry Placilla Pola Pommern Potosi Preussen Priwall Rhein "Rickmer Rickmers" Weser
    }
    steam_transport = {
        Aachen "Adeline Hugo Stinnes 3" Aller Answald Ausonia Berlin Bonn Braunschweig Bremen Breslau Bulow Kassel Chemnitz Choising Coblenz
        Coburg Cormoran Krefeld Danzig Darmstadt Delphin Donau Dresden Eider Eisenach Elbe Ems Erlangen Frankfurt Fulda "General Werder" Gera Giessen Gotha Halle
        Hannover Hansa Havel Hermann Hohenstaufen Hohenzollern Kleist Koln Lahn Leipzig Libau Lubeck Mark "Minister Roon" Nordsee Oder Oldenburg Oswald Pfalz
        Rhein Roon Saale Salier Schleswig Seydlitz Skutari Spree Stettin Therapia Trave Trier Union Wartburg Weimar Werra Weser Willehad Wittekind Zieten
    }
    commerce_raider = {
        Barbarossa "Kap Trafalgar" Cormoran Iltis "Kaiser Wilhelm der Grosse" "Kronprinz Wilhelm" Leopard Loreley Meteor Mowe "Preussischer Adler"
        Seeadler Seelowe Vineta Wolf
    }
}
