color = { 0 0 102 }		#non-absolute monarchies
absolute_monarchy = { 0 0 128 }	#navy
presidential_dictatorship = { 17 30 108 } #royal
#democracy = { 114 133 165 }	#pigeon
democracy = { 115 135 190 } #AoE color
#bourgeois_dictatorship = { 0 49 82 }	#prussian blue
#bourgeois_dictatorship = { 79 151 163 } #turkish blue
bourgeois_dictatorship = { 79 81 109 } #independence
proletarian_dictatorship = { 229 0 39 }	#France's communist party color
fascist_dictatorship = { 12 0 45 }		#Took this color from anon's hfm submod, looks nice
graphical_culture = FrenchGC
	start_date = 1883.1.1
	end_date = 2000.1.1

	ideology = reactionary

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "FRA_socialist_3"
	start_date = 1905.1.1
	end_date = 2000.1.1

	ideology = socialist

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = secularized
	citizenship_policy = limited_citizenship
	war_policy = anti_military
}

party = {
	name = "FRA_fascist"
	start_date = 1905.1.1
	end_date = 2000.1.1

	ideology = fascist

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

unit_names = {
	dreadnought = {
		"Dunkerque" "Strasbourg" "Richelieu" "Clemenceau" "Petain" "Napoleon" "Poincare"
		"Louis XIV" "Alsace" "Bourgogne" "Poitou" "Calais" "Rouen" "Brest" "Devastation"
		"Courbet" "Amiral Duperre" "Terrible" "Indomptable" "Caiman" "Requin" "Admiral Baudin"
		"Formidable" "Hoche" "Marceau" "Magenta" "Neptune" "Brennus" "Charles Martel" "Carnot"
		"Jaureguiberry" "Massena" "Bouvet" "Charlemagne" "Saint Louis" "Gaulois" "Henri IV"
		"Iena" "Suffren" "Republique" "Patrie" "Democratie" "Justice" "Liberte" "Verite"
		"Danton" "Diderot" "Mirabeau" "Vergniaud" "Voltaire" "Condorcet" "Courbet" "France"
		"Jean Bart" "Paris" "Fleurus" "Bretagne" "Lorraine" "Provence" "Bearn" "Flandre"
		"Gascoigne" "Languedoc" "Normandie" "Guyenne" "Champagne" "Auvergne" "Lille" "Lyon"
		"Orleans" "La Rochelle" "Bourdeaux"
	}
	
	battleship = {
		"Brennus" "Charles Martel" "Carnot" "Jaureguiberry" "Massena" Bouvet Charlemagne "St Louis" Gaulois Iena Suffren Republique Patrie Liberte Justice Verite Democratie Danton Voltaire Diderot Condorcet Mirebeau Vergniaud "Henri IV"
	}
	
	ironclad = {
		"Congreve" "Foudroyante" "Lave" "Tonnante" "Gloire" "Invincible" "Normandie" "Couronne"
		"Magenta" "Solferino" "Flandre" "Gauloise" "Magnanime" "Provence" "Revanche" "Savoie"
		"Surveillante" "Valeureuse" "Heroïne"
	}
	manowar = {
		"Alexandre" "Breslaw" "Prince Jerôme" "Ville de Paris" "Ville de Nantes" "Duguay-Trouin"
		"Tage" "Donawerth" "Saint Louis" "Fontenoy" "Turenne" "Ville de Bordeaux" "Castiglione"
		"Massena" "Bayard" "Ville de Lyon" "Louis XIV"
	}
	cruiser = {
		"Clovis" "Maurice de Saxe" "Vercingetorix" "Richemont" "Dunois" "Ney" "Leger" "Vauban"
		"Conde" "Turenne" "Montebello" "Austerlitz" "Souverain" "Navarin" "Ulm" "Wagram"
		"Algesiras" "Arcole" "Friedland" "Imperial" "Eylau" "Tilsitt" "Jena" "Auerstadt"
		"Marengo" "Toulon" "Bellone" "Glorieuse" "Gracieuse" "Audacieuse" "Impetueuse" "Ardente"
		"Victoire" "Guerrière" "Temeraire" "Triomphant" "Tigre" "Perseverante" "Vigilant"
		"Tenace" "Elan" "Duguay Trouin" "Lamotte-Picquet" "Primaguet" "Duquesne" "Tourville"
		"Colbert" "Foch" "Algerie" "Jeanne D'Arc" "Maroc" "Lafayette" "Davout" "Suchet" "Forbin"
		"Surcouf" "Cosmao" "Lalande" "Galilee" "Lavoisier" "Linois" "La Galissionere"
		"Jean de Vienne" "Gloire" "Marseillaise" "Georges Leygues" "De Grasse" "La Fantasque"
		"Iphigenie" "Naiade" "Arethuse" "Dubourdieu" "Milan" "Belliqueuse" "Sfax" "Tage"
		"Amiral Cecille" "Davout" "Suchet" "Coëtlogon" "Forbin" "Surcouf" "Cosmao" "Lalande"
		"Troude" "Galilee" "Lavoisier" "Linois" "Tunisie" "Isly" "Bugeaud" "Chasseloup-Laubat"
		"Friant" "Descartes" "Pascal" "Cassard" "D'Assas" "Du Chayla" "Catinat" "Protet"
		"D'Entrecasteaux" "Guichen" "Chateaurenault" "D'Estrees" "Infernet" "Jurien de la Gravière"
		"Pluton" "Emile Bertin" "Dupuy de Lome" "Admiral Charner" "Bruix" "Chanzy" "Latouche-Treville"
		"Pothau" "Dupetit-Thouars" "Gueydon" "Montcalm" "Desaix" "Dupleix" "Kleber"
		"Amiral Aube" "Conde" "Sully" "Leon Gambetta" "Victor Hugo" "Jules Michelet"
		"Ernest Renan" "Edgar Quinet" "Waldeck-Rousseau" "Thionville" "Metz" "Mulhouse" "Colmar"
		"D'Assas" "Du Chayla" "Catinat" "Protet" "D'Entrecasteaux" "Guichen" "Chateaurenault"
	}
	frigate = {
		"Condor" "Epervier" "Faucon" "Vautour" "Wattignies" "Levrier" "Casablanca" "D'Iberville"
		"Cassini" "Lahire" "Circe" "Hermione" "Pallas" "Semiramis" "Armorique" "Junon"
		"Magicienne" "Themis" "Flore"
	}
	monitor = {
		"Ocean" "Marengo" "Suffren" "Friedland" "Richelieu" "Colbert" "Trident"
	}
	clipper_transport = {
	}
	steam_transport = {
	}
	commerce_raider = {
		"Asmodee" "Gomer" "Darien" "Labrador" "Ulloa" "Cacique" "Canada" "Christophe Colomb"
		"Eldorado" "Magellan" "Montezuma" "Orenoque" "Panama" "Albatros" "Descartes" "Vauban"
		"Caffarelli" "Mogador" "Pomone" "Isly" "Bellone" "Foudre" "Imperatrice Eugenie"
		"Souveraine" "Audacieuse" "Impetueuse" "Ardente" "Victoire" "Guerrière" "Renommee"
		"Danae" "Pandore" "Zenobie" "Clorinde" "Astree"
	}
}
